Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN605S KV170,T-MOTOR P21*6.3,40%,47.87,1787,0.43,3.80,3358,182,9.82,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,42%,47.86,1862,0.45,4.00,3437,191,9.73,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,44%,47.85,2016,0.48,4.50,3574,215,9.36,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,46%,47.84,2153,0.51,4.90,3675,234,9.18,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,48%,47.82,2311,0.55,5.50,3789,263,8.79,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,50%,47.80,2483,0.58,6.00,3922,287,8.66,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,52%,47.78,2669,0.62,6.50,4042,311,8.59,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,54%,47.75,2763,0.66,6.90,4165,329,8.39,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,56%,47.73,2947,0.67,7.50,4288,358,8.23,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,58%,47.71,3115,0.71,8.10,4363,386,8.06,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,60%,47.69,3315,0.75,8.70,4471,415,7.99,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,62%,47.66,3435,0.79,9.30,4598,443,7.75,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,64%,47.64,3582,0.83,9.80,4705,467,7.67,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,66%,47.61,3746,0.88,10.40,4822,495,7.57,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,68%,47.58,3951,0.92,11.20,4927,533,7.41,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,70%,47.56,4108,0.95,12.00,5017,571,7.20,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,75%,47.48,4584,1.05,13.90,5274,660,6.95,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,80%,47.40,5018,1.16,15.90,5531,754,6.66,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,90%,47.21,6144,1.43,21.30,6061,1006,6.11,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P21*6.3,100%,47.02,7651,1.71,29.10,6650,1368,5.59,62.6 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,40%,47.92,2067,0.52,4.30,3265,206,10.03,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,42%,47.91,2208,0.56,4.70,3313,225,9.81,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,44%,47.89,2384,0.60,5.20,3509,249,9.57,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,46%,47.88,2553,0.65,5.70,3627,273,9.35,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,48%,47.86,2704,0.69,6.30,3745,302,8.97,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,50%,47.84,2892,0.73,6.90,3860,330,8.76,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,52%,47.81,3067,0.77,7.50,3973,359,8.55,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,54%,47.79,3273,0.81,8.20,4085,392,8.35,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,56%,47.76,3471,0.85,9.00,4208,430,8.08,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,58%,47.74,3584,0.88,9.60,4287,458,7.82,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,60%,47.71,3736,0.94,10.20,4386,487,7.68,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,62%,47.69,3896,0.99,10.90,4473,520,7.49,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,64%,47.66,4104,1.03,11.70,4577,558,7.36,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,66%,47.63,4283,1.08,12.60,4697,600,7.14,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,68%,47.60,4500,1.12,13.50,4808,643,7.00,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,70%,47.57,4721,1.18,14.30,4903,680,6.94,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,75%,47.48,5477,1.30,17.40,5196,826,6.63,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,80%,47.39,6064,1.44,20.20,5450,957,6.33,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,90%,47.18,7201,1.72,26.20,5923,1236,5.83,88 (Ambient Temperature: 34.5℃)
MN605S KV170,T-MOTOR P22*6.6,100%,46.97,8626,2.06,34.60,6469,1625,5.31,88 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,40%,23.87,1465,0.28,6.50,3044,155,9.44,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,42%,23.86,1552,0.30,7.00,3116,167,9.29,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,44%,23.84,1629,0.33,7.50,3215,179,9.11,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,46%,23.81,1757,0.36,8.20,3322,195,9.00,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,48%,23.79,1883,0.39,8.90,3413,212,8.89,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,50%,23.76,2046,0.42,10.00,3564,238,8.61,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,52%,23.72,2196,0.46,11.00,3716,261,8.42,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,54%,23.69,2354,0.50,11.90,3820,282,8.35,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,56%,23.65,2467,0.52,12.70,3904,300,8.21,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,58%,23.62,2606,0.56,13.60,4006,321,8.11,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,60%,23.59,2751,0.61,14.70,4113,347,7.93,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,62%,23.55,2930,0.63,16.00,4228,377,7.78,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,64%,23.51,3100,0.67,17.20,4345,404,7.67,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,66%,23.47,3262,0.72,18.40,4460,432,7.55,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,68%,23.43,3473,0.74,19.80,4585,464,7.49,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,70%,23.39,3660,0.80,21.70,4727,508,7.21,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,75%,23.28,4111,0.89,25.50,4997,594,6.93,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,80%,23.15,4601,0.99,29.80,5297,690,6.67,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,90%,22.86,5557,1.19,39.20,5781,896,6.20,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P21*6.3,100%,22.61,6542,1.41,50.50,6250,1142,5.73,54 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,40%,23.84,1502,0.34,6.70,2832,139,10.13,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,42%,23.83,1696,0.37,7.70,2988,155,9.88,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,44%,23.80,1772,0.40,8.30,3084,172,9.67,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,46%,23.77,1913,0.44,9.00,3197,192,9.41,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,48%,23.75,2092,0.47,10.00,3311,213,9.17,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,50%,23.71,2294,0.51,11.40,3462,236,8.96,64 (Ambient Temperature: 34.5℃)
MN605S KV320,T-MOTOR P22*6.6,52%,23.68,2483,0.55,12.50,3586,264,8.65,64 (Ambient Temperature: 34.5℃)
