Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN4012 KV340,22.2,T-MOTOR 14*4.8CF,50%,2.9,64.38,650,3950,10.10,47
MN4012 KV340,22.2,T-MOTOR 14*4.8CF,65%,4.4,97.68,860,4500,8.80,47
MN4012 KV340,22.2,T-MOTOR 14*4.8CF,75%,5.9,130.98,1090,5100,8.32,47
MN4012 KV340,22.2,T-MOTOR 14*4.8CF,85%,7.6,168.72,1330,5600,7.88,47
MN4012 KV340,22.2,T-MOTOR 14*4.8CF,100%,9,199.80,1530,6000,7.66,47
MN4012 KV340,22.2,T-MOTOR 15*5CF,50%,3.4,75.48,790,3600,10.47,50
MN4012 KV340,22.2,T-MOTOR 15*5CF,65%,5.4,119.88,1110,4400,9.26,50
MN4012 KV340,22.2,T-MOTOR 15*5CF,75%,7.2,159.84,1360,5100,8.51,50
MN4012 KV340,22.2,T-MOTOR 15*5CF,85%,9.6,213.12,1670,5400,7.84,50
MN4012 KV340,22.2,T-MOTOR 15*5CF,100%,11.4,253.08,1920,5700,7.59,50
MN4012 KV340,22.2,T-MOTOR 16*5.4,50%,3.7,82.14,910,3400,11.08,54
MN4012 KV340,22.2,T-MOTOR 16*5.4,65%,6.2,137.64,1330,4200,9.66,54
MN4012 KV340,22.2,T-MOTOR 16*5.4,75%,8.4,186.48,1620,4700,8.69,54
MN4012 KV340,22.2,T-MOTOR 16*5.4,85%,11.3,250.86,1960,5100,7.81,54
MN4012 KV340,22.2,T-MOTOR 16*5.4,100%,13.4,297.48,2220,5400,7.46,54
MN4012 KV400,22.2,T-MOTOR 13*4.4CF,50%,3.7,82.14,740,4900,9.01,50
MN4012 KV400,22.2,T-MOTOR 13*4.4CF,65%,4.8,106.56,850,5650,7.98,50
MN4012 KV400,22.2,T-MOTOR 13*4.4CF,75%,6,133.20,1040,6000,7.81,50
MN4012 KV400,22.2,T-MOTOR 13*4.4CF,85%,7.9,175.38,1260,6700,7.18,50
MN4012 KV400,22.2,T-MOTOR 13*4.4CF,100%,9.4,208.68,1450,7150,6.95,50
MN4012 KV400,22.2,T-MOTOR 14*4.8CF,50%,4.2,93.24,870,4500,9.33,52
MN4012 KV400,22.2,T-MOTOR 14*4.8CF,65%,6.4,142.08,1150,5300,8.09,52
MN4012 KV400,22.2,T-MOTOR 14*4.8CF,75%,8.2,182.04,1420,5700,7.80,52
MN4012 KV400,22.2,T-MOTOR 14*4.8CF,85%,10.9,241.98,1720,6300,7.11,52
MN4012 KV400,22.2,T-MOTOR 14*4.8CF,100%,13.1,290.82,1960,6700,6.74,52
MN4012 KV400,22.2,T-MOTOR 15*5CF,50%,4.8,106.56,1010,4000,9.48,54
MN4012 KV400,22.2,T-MOTOR 15*5CF,65%,7.9,175.38,1410,5000,8.04,54
MN4012 KV400,22.2,T-MOTOR 15*5CF,75%,10.4,230.88,1730,5400,7.49,54
MN4012 KV400,22.2,T-MOTOR 15*5CF,85%,13.4,297.48,2090,6000,7.03,54
MN4012 KV400,22.2,T-MOTOR 15*5CF,100%,16.2,359.64,2370,6300,6.59,54
MN4012 KV480,14.8,T-MOTOR 14*4.8CF,50%,4.3,63.64,580,3900,9.11,49
MN4012 KV480,14.8,T-MOTOR 14*4.8CF,65%,5.7,84.36,780,4500,9.25,49
MN4012 KV480,14.8,T-MOTOR 14*4.8CF,75%,7.4,109.52,980,4900,8.95,49
MN4012 KV480,14.8,T-MOTOR 14*4.8CF,85%,9.8,145.04,1200,5500,8.27,49
MN4012 KV480,14.8,T-MOTOR 14*4.8CF,100%,11.8,174.64,1400,5800,8.02,49
MN4012 KV480,14.8,T-MOTOR 15*5CF,50%,4.5,66.60,660,3600,9.91,49
MN4012 KV480,14.8,T-MOTOR 15*5CF,65%,6.8,100.64,900,4200,8.94,49
MN4012 KV480,14.8,T-MOTOR 15*5CF,75%,8.9,131.72,1100,4700,8.35,49
MN4012 KV480,14.8,T-MOTOR 15*5CF,85%,11.7,173.16,1380,5250,7.97,49
MN4012 KV480,14.8,T-MOTOR 15*5CF,100%,14.6,216.08,1600,5600,7.40,49
MN4012 KV480,14.8,T-MOTOR 16*5.4CF,50%,4.7,69.56,700,3300,10.06,50
MN4012 KV480,14.8,T-MOTOR 16*5.4CF,65%,7.8,115.44,1060,4000,9.18,50
MN4012 KV480,14.8,T-MOTOR 16*5.4CF,75%,10.5,155.40,1310,4500,8.43,50
MN4012 KV480,14.8,T-MOTOR 16*5.4CF,85%,14,207.20,1620,5000,7.82,50
MN4012 KV480,14.8,T-MOTOR 16*5.4CF,100%,16.9,250.12,1860,5400,7.44,50
MN4012 KV480,22.2,T-MOTOR 13*4.4CF,50%,5.7,126.54,900,5900,7.11,52
MN4012 KV480,22.2,T-MOTOR 13*4.4CF,65%,7.7,170.94,1200,6700,7.02,52
MN4012 KV480,22.2,T-MOTOR 13*4.4CF,75%,9.6,213.12,1400,7300,6.57,52
MN4012 KV480,22.2,T-MOTOR 13*4.4CF,85%,13,288.60,1800,8000,6.24,52
MN4012 KV480,22.2,T-MOTOR 13*4.4CF,100%,15.4,341.88,2000,8600,5.85,52
MN4012 KV480,22.2,T-MOTOR 14*4.8CF,50%,7,155.40,1170,5500,7.53,60
MN4012 KV480,22.2,T-MOTOR 14*4.8CF,65%,10,222.00,1530,6200,6.89,60
MN4012 KV480,22.2,T-MOTOR 14*4.8CF,75%,13.4,297.48,1860,6800,6.25,60
MN4012 KV480,22.2,T-MOTOR 14*4.8CF,85%,17.6,390.72,2300,7500,5.89,60
MN4012 KV480,22.2,T-MOTOR 14*4.8CF,100%,21.3,472.86,2600,8000,5.50,60
