Type,Propeller,Throttle,Voltage (V),Current (A),Power (W),RPM,Torque (N*m),Thrust (g),Efficiency (g/W),Operating Temperature (℃)
MN5006 KV300,T-MOTOR P17*5.8CF,40%,23.70,1.63,39,2481,0.10,501,13.02,67
MN5006 KV300,T-MOTOR P17*5.8CF,45%,23.67,2.21,52,2790,0.13,640,12.24,67
MN5006 KV300,T-MOTOR P17*5.8CF,50%,23.64,2.88,68,3103,0.15,784,11.5,67
MN5006 KV300,T-MOTOR P17*5.8CF,55%,23.61,3.71,88,3410,0.19,942,10.75,67
MN5006 KV300,T-MOTOR P17*5.8CF,60%,23.57,4.66,110,3689,0.22,1119,10.18,67
MN5006 KV300,T-MOTOR P17*5.8CF,65%,23.54,5.68,134,3947,0.25,1289,9.64,67
MN5006 KV300,T-MOTOR P17*5.8CF,70%,23.50,6.78,159,4203,0.29,1454,9.13,67
MN5006 KV300,T-MOTOR P17*5.8CF,75%,23.46,8.00,188,4442,0.32,1631,8.69,67
MN5006 KV300,T-MOTOR P17*5.8CF,80%,23.42,9.28,217,4664,0.35,1798,8.28,67
MN5006 KV300,T-MOTOR P17*5.8CF,90%,23.32,12.31,287,5105,0.43,2186,7.62,67
MN5006 KV300,T-MOTOR P17*5.8CF,100%,23.22,15.41,358,5491,0.50,2538,7.09,67
MN5006 KV300,T-MOTOR P18*6.1CF,40%,23.68,2.04,48,2410,0.14,629,13,82
MN5006 KV300,T-MOTOR P18*6.1CF,45%,23.64,2.80,66,2702,0.17,792,11.96,82
MN5006 KV300,T-MOTOR P18*6.1CF,50%,23.61,3.67,87,2988,0.21,968,11.18,82
MN5006 KV300,T-MOTOR P18*6.1CF,55%,23.57,4.75,112,3264,0.24,1162,10.38,82
MN5006 KV300,T-MOTOR P18*6.1CF,60%,23.53,5.91,139,3525,0.29,1366,9.82,82
MN5006 KV300,T-MOTOR P18*6.1CF,65%,23.48,7.25,170,3762,0.33,1572,9.24,82
MN5006 KV300,T-MOTOR P18*6.1CF,70%,23.43,8.69,204,3996,0.38,1777,8.73,82
MN5006 KV300,T-MOTOR P18*6.1CF,75%,23.38,10.22,239,4219,0.42,1980,8.29,82
MN5006 KV300,T-MOTOR P18*6.1CF,80%,23.33,11.89,277,4424,0.46,2183,7.87,82
MN5006 KV300,T-MOTOR P18*6.1CF,90%,23.21,15.70,364,4807,0.55,2618,7.19,82
MN5006 KV300,T-MOTOR P18*6.1CF,100%,23.09,19.63,453,5131,0.63,2996,6.61,82
MN5006 KV450,T-MOTOR P14*4.8CF,40%,23.65,2.66,63,3983,0.11,610,9.69,42
MN5006 KV450,T-MOTOR P14*4.8CF,45%,23.62,3.31,78,4318,0.12,724,9.25,42
MN5006 KV450,T-MOTOR P14*4.8CF,50%,23.60,4.04,95,4674,0.14,840,8.82,42
MN5006 KV450,T-MOTOR P14*4.8CF,55%,23.56,5.01,118,5059,0.17,988,8.37,42
MN5006 KV450,T-MOTOR P14*4.8CF,60%,23.52,6.17,145,5440,0.19,1160,8,42
MN5006 KV450,T-MOTOR P14*4.8CF,65%,23.44,7.60,178,5757,0.22,1291,7.27,42
MN5006 KV450,T-MOTOR P14*4.8CF,70%,23.43,8.64,202,6136,0.24,1479,7.31,42
MN5006 KV450,T-MOTOR P14*4.8CF,75%,23.38,10.24,240,6527,0.27,1674,6.99,42
MN5006 KV450,T-MOTOR P14*4.8CF,80%,23.33,11.96,279,6883,0.31,1878,6.73,42
MN5006 KV450,T-MOTOR P14*4.8CF,90%,23.20,16.06,372,7588,0.37,2296,6.16,42
MN5006 KV450,T-MOTOR P14*4.8CF,100%,23.07,20.16,465,8168,0.44,2672,5.75,42
MN5006 KV450,T-MOTOR P15*5CF,40%,23.63,3.17,75,3730,0.13,723,9.66,63
MN5006 KV450,T-MOTOR P15*5CF,45%,23.58,4.20,99,4141,0.16,895,9.03,63
MN5006 KV450,T-MOTOR P15*5CF,50%,23.54,5.41,127,4528,0.20,1084,8.51,63
MN5006 KV450,T-MOTOR P15*5CF,55%,23.50,6.67,157,4887,0.23,1259,8.03,63
MN5006 KV450,T-MOTOR P15*5CF,60%,23.45,8.17,191,5239,0.27,1458,7.61,63
MN5006 KV450,T-MOTOR P15*5CF,65%,23.40,9.76,228,5573,0.30,1643,7.2,63
MN5006 KV450,T-MOTOR P15*5CF,70%,23.34,11.43,267,5868,0.34,1839,6.89,63
MN5006 KV450,T-MOTOR P15*5CF,75%,23.27,13.56,316,6219,0.38,2079,6.59,63
MN5006 KV450,T-MOTOR P15*5CF,80%,23.20,15.88,368,6550,0.42,2307,6.26,63
MN5006 KV450,T-MOTOR P15*5CF,90%,23.05,21.08,486,7169,0.51,2792,5.75,63
MN5006 KV450,T-MOTOR P15*5CF,100%,22.89,26.28,601,7682,0.59,3218,5.35,63
MN5006 KV450,T-MOTOR P17*5.8CF,40%,15.69,2.15,34,2353,0.09,438,12.99,45
MN5006 KV450,T-MOTOR P17*5.8CF,45%,15.67,2.85,45,2614,0.11,562,12.6,45
MN5006 KV450,T-MOTOR P17*5.8CF,50%,15.63,3.78,59,2912,0.14,694,11.76,45
MN5006 KV450,T-MOTOR P17*5.8CF,55%,15.58,4.91,76,3206,0.17,840,10.98,45
MN5006 KV450,T-MOTOR P17*5.8CF,60%,15.55,6.09,95,3477,0.20,987,10.43,45
MN5006 KV450,T-MOTOR P17*5.8CF,65%,15.50,7.41,115,3711,0.23,1144,9.97,45
MN5006 KV450,T-MOTOR P17*5.8CF,70%,15.45,8.84,137,3942,0.25,1294,9.47,45
MN5006 KV450,T-MOTOR P17*5.8CF,75%,15.40,10.49,161,4167,0.28,1453,9,45
MN5006 KV450,T-MOTOR P17*5.8CF,80%,15.35,12.13,186,4377,0.31,1603,8.61,45
MN5006 KV450,T-MOTOR P17*5.8CF,90%,15.23,15.95,243,4800,0.38,1934,7.97,45
MN5006 KV450,T-MOTOR P17*5.8CF,100%,15.11,19.85,300,5153,0.44,2228,7.43,45
MN5006 KV450,T-MOTOR P18*6.1CF,40%,15.67,2.74,43,2271,0.12,555,12.92,64
MN5006 KV450,T-MOTOR P18*6.1CF,45%,15.63,3.62,57,2524,0.15,694,12.27,64
MN5006 KV450,T-MOTOR P18*6.1CF,50%,15.59,4.84,75,2805,0.19,853,11.31,64
MN5006 KV450,T-MOTOR P18*6.1CF,55%,15.54,6.23,97,3067,0.22,1030,10.64,64
MN5006 KV450,T-MOTOR P18*6.1CF,60%,15.49,7.74,120,3314,0.26,1204,10.03,64
MN5006 KV450,T-MOTOR P18*6.1CF,65%,15.44,9.37,145,3534,0.29,1374,9.51,64
MN5006 KV450,T-MOTOR P18*6.1CF,70%,15.37,11.22,173,3757,0.33,1540,8.93,64
MN5006 KV450,T-MOTOR P18*6.1CF,75%,15.32,13.10,201,3959,0.37,1720,8.57,64
MN5006 KV450,T-MOTOR P18*6.1CF,80%,15.25,15.27,233,4142,0.41,1911,8.21,64
MN5006 KV450,T-MOTOR P18*6.1CF,90%,15.10,19.98,302,4504,0.48,2274,7.54,64
MN5006 KV450,T-MOTOR P18*6.1CF,100%,14.96,24.82,371,4801,0.55,2609,7.03,64
