Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN4010 KV370,14.8,T-MOTOR 14*4.8CF,50%,2.1,31.08,360,3100,11.58,44
MN4010 KV370,14.8,T-MOTOR 14*4.8CF,65%,3.1,45.88,510,3600,11.12,44
MN4010 KV370,14.8,T-MOTOR 14*4.8CF,75%,4.1,60.68,640,3960,10.55,44
MN4010 KV370,14.8,T-MOTOR 14*4.8CF,85%,5.4,79.92,810,4400,10.14,44
MN4010 KV370,14.8,T-MOTOR 14*4.8CF,100%,6.5,96.20,920,4700,9.56,44
MN4010 KV370,14.8,T-MOTOR 15*5CF,50%,2.3,34.04,430,2800,12.63,44
MN4010 KV370,14.8,T-MOTOR 15*5CF,65%,3.8,56.24,640,3400,11.38,44
MN4010 KV370,14.8,T-MOTOR 15*5CF,75%,5.1,75.48,820,3800,10.86,44
MN4010 KV370,14.8,T-MOTOR 15*5CF,85%,6.9,102.12,1020,4250,9.99,44
MN4010 KV370,14.8,T-MOTOR 15*5CF,100%,8.2,121.36,1160,4450,9.56,44
MN4010 KV370,14.8,T-MOTOR 16*5.4CF,50%,2.5,37.00,500,2650,13.51,45
MN4010 KV370,14.8,T-MOTOR 16*5.4CF,65%,4.3,63.64,770,3300,12.10,45
MN4010 KV370,14.8,T-MOTOR 16*5.4CF,75%,6.1,90.28,970,3650,10.74,45
MN4010 KV370,14.8,T-MOTOR 16*5.4CF,85%,8,118.40,1200,4000,10.14,45
MN4010 KV370,14.8,T-MOTOR 16*5.4CF,100%,9.6,142.08,1380,4300,9.71,45
MN4010 KV370,22.2,T-MOTOR 12*4CF,50%,3,66.60,600,5000,9.01,40
MN4010 KV370,22.2,T-MOTOR 12*4CF,65%,4,88.80,730,5600,8.22,40
MN4010 KV370,22.2,T-MOTOR 12*4CF,75%,5,111.00,860,6200,7.75,40
MN4010 KV370,22.2,T-MOTOR 12*4CF,85%,6.6,146.52,1090,6800,7.44,40
MN4010 KV370,22.2,T-MOTOR 12*4CF,100%,7.7,170.94,1200,7300,7.02,40
MN4010 KV370,22.2,T-MOTOR 13*4.4CF,50%,3.1,68.82,650,4800,9.44,47
MN4010 KV370,22.2,T-MOTOR 13*4.4CF,65%,4.3,95.46,810,5300,8.49,47
MN4010 KV370,22.2,T-MOTOR 13*4.4CF,75%,5.5,122.10,970,6000,7.94,47
MN4010 KV370,22.2,T-MOTOR 13*4.4CF,85%,7.1,157.62,1160,6700,7.36,47
MN4010 KV370,22.2,T-MOTOR 13*4.4CF,100%,8.5,188.70,1340,7100,7.10,47
MN4010 KV370,22.2,T-MOTOR 14*4.8CF,50%,3.5,77.70,780,4400,10.04,51
MN4010 KV370,22.2,T-MOTOR 14*4.8CF,65%,5.7,126.54,1060,5100,8.38,51
MN4010 KV370,22.2,T-MOTOR 14*4.8CF,75%,7.6,168.72,1310,5700,7.76,51
MN4010 KV370,22.2,T-MOTOR 14*4.8CF,85%,9.8,217.56,1590,6300,7.31,51
MN4010 KV370,22.2,T-MOTOR 14*4.8CF,100%,11.7,259.74,1830,6600,7.05,51
MN4010 KV370,22.2,T-MOTOR 15*5CF,50%,4.2,93.24,940,3900,10.08,52
MN4010 KV370,22.2,T-MOTOR 15*5CF,65%,7,155.40,1300,4800,8.37,52
MN4010 KV370,22.2,T-MOTOR 15*5CF,75%,9.3,206.46,1620,5350,7.85,52
MN4010 KV370,22.2,T-MOTOR 15*5CF,85%,12.2,270.84,1950,5700,7.20,52
MN4010 KV370,22.2,T-MOTOR 15*5CF,100%,14.6,324.12,2240,6100,6.91,52
MN4010 KV475,14.8,T-MOTOR 13*4.4CF,50%,2.8,41.44,410,4000,9.89,40
MN4010 KV475,14.8,T-MOTOR 13*4.4CF,65%,3.9,57.72,550,4500,9.53,40
MN4010 KV475,14.8,T-MOTOR 13*4.4CF,75%,5,74.00,680,5000,9.19,40
MN4010 KV475,14.8,T-MOTOR 13*4.4CF,85%,6.7,99.16,840,5500,8.47,40
MN4010 KV475,14.8,T-MOTOR 13*4.4CF,100%,7.9,116.92,940,5860,8.04,40
MN4010 KV475,14.8,T-MOTOR 14*4.8CF,50%,3.2,47.36,510,3600,10.77,47
MN4010 KV475,14.8,T-MOTOR 14*4.8CF,65%,5.1,75.48,730,4300,9.67,47
MN4010 KV475,14.8,T-MOTOR 14*4.8CF,75%,6.8,100.64,910,4700,9.04,47
MN4010 KV475,14.8,T-MOTOR 14*4.8CF,85%,8.8,130.24,1110,5150,8.52,47
MN4010 KV475,14.8,T-MOTOR 14*4.8CF,100%,10.7,158.36,1280,5300,8.08,47
MN4010 KV475,14.8,T-MOTOR 15*5CF,50%,3.5,51.80,590,3300,11.39,47
MN4010 KV475,14.8,T-MOTOR 15*5CF,65%,6.4,94.72,900,4000,9.50,47
MN4010 KV475,14.8,T-MOTOR 15*5CF,75%,8.5,125.80,1130,4500,8.98,47
MN4010 KV475,14.8,T-MOTOR 15*5CF,85%,11.3,167.24,1370,4900,8.19,47
