Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN8012 KV100,T-MOTOR G28*9.2",40%,47.76,1674,0.55,2.63,1632,125,13.34,45℃
MN8012 KV100,T-MOTOR G28*9.2",45%,47.74,2076,0.68,3.51,1811,167,12.41,45℃
MN8012 KV100,T-MOTOR G28*9.2",50%,47.71,2565,0.83,4.54,2003,217,11.85,45℃
MN8012 KV100,T-MOTOR G28*9.2",55%,47.68,3194,1.03,6.12,2218,292,10.96,45℃
MN8012 KV100,T-MOTOR G28*9.2",60%,47.62,3810,1.22,7.85,2412,374,10.19,45℃
MN8012 KV100,T-MOTOR G28*9.2",65%,47.59,4433,1.39,9.63,2594,458,9.68,45℃
MN8012 KV100,T-MOTOR G28*9.2",70%,47.54,5132,1.61,11.85,2781,563,9.11,45℃
MN8012 KV100,T-MOTOR G28*9.2",75%,47.49,5872,1.84,14.41,2968,685,8.58,45℃
MN8012 KV100,T-MOTOR G28*9.2",80%,47.44,6513,2.03,16.78,3125,796,8.18,45℃
MN8012 KV100,T-MOTOR G28*9.2",90%,47.33,7936,2.47,22.52,3431,1066,7.45,45℃
MN8012 KV100,T-MOTOR G28*9.2",100%,47.19,9546,2.97,29.64,3751,1399,6.83,45℃
MN8012 KV100,T-MOTOR G29*9.5",40%,47.75,1987,0.68,3.06,1619,146,13.59,56℃
MN8012 KV100,T-MOTOR G29*9.5",45%,47.71,2487,0.84,4.19,1802,200,12.45,56℃
MN8012 KV100,T-MOTOR G29*9.5",50%,47.69,3135,1.04,5.75,2008,274,11.43,56℃
MN8012 KV100,T-MOTOR G29*9.5",55%,47.62,3788,1.26,7.46,2203,356,10.66,56℃
MN8012 KV100,T-MOTOR G29*9.5",60%,47.58,4447,1.48,9.44,2384,449,9.90,56℃
MN8012 KV100,T-MOTOR G29*9.5",65%,47.53,5169,1.71,11.74,2561,558,9.27,56℃
MN8012 KV100,T-MOTOR G29*9.5",70%,47.47,5892,1.95,14.19,2730,674,8.75,56℃
MN8012 KV100,T-MOTOR G29*9.5",75%,47.42,6679,2.20,17.04,2909,808,8.27,56℃
MN8012 KV100,T-MOTOR G29*9.5",80%,47.36,7380,2.43,19.85,3052,940,7.85,56℃
MN8012 KV100,T-MOTOR G29*9.5",90%,47.11,8925,2.93,26.39,3336,1243,7.18,56℃
MN8012 KV100,T-MOTOR G29*9.5",100%,46.93,10582,3.47,34.05,3612,1598,6.62,56℃
MN8012 KV100,T-MOTOR G30*10.5",40%,47.70,2285,0.80,3.61,1581,172,13.27,74℃
MN8012 KV100,T-MOTOR G30*10.5",45%,47.64,2882,1.00,4.92,1774,234,12.30,74℃
MN8012 KV100,T-MOTOR G30*10.5",50%,47.52,3636,1.27,6.83,1984,324,11.21,74℃
MN8012 KV100,T-MOTOR G30*10.5",55%,47.43,4370,1.52,8.88,2166,421,10.38,74℃
MN8012 KV100,T-MOTOR G30*10.5",60%,47.40,5109,1.77,11.14,2339,528,9.68,74℃
MN8012 KV100,T-MOTOR G30*10.5",65%,47.30,5885,2.04,13.72,2501,649,9.07,74℃
MN8012 KV100,T-MOTOR G30*10.5",70%,47.21,6663,2.30,16.58,2654,783,8.51,74℃
MN8012 KV100,T-MOTOR G30*10.5",75%,47.20,7536,2.59,19.96,2813,942,8.00,74℃
MN8012 KV100,T-MOTOR G30*10.5",80%,47.08,8344,2.87,23.26,2954,1095,7.62,74℃
MN8012 KV100,T-MOTOR G30*10.5",90%,47.01,9952,3.43,30.62,3223,1439,6.92,74℃
MN8012 KV100,T-MOTOR G30*10.5",100%,46.81,11826,4.06,40.02,3483,1873,6.31,74℃
