Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN8014 KV100,T-MOTOR G29*9.5",40%,47.72,2325,0.79,4.00,1740,191,12.20,66℃
MN8014 KV100,T-MOTOR G29*9.5",45%,47.69,2831,0.95,5.17,1910,247,11.48,66℃
MN8014 KV100,T-MOTOR G29*9.5",50%,47.66,3469,1.16,6.80,2108,324,10.70,66℃
MN8014 KV100,T-MOTOR G29*9.5",55%,47.60,4283,1.42,9.11,2333,434,9.88,66℃
MN8014 KV100,T-MOTOR G29*9.5",60%,47.53,5136,1.69,11.59,2552,551,9.32,66℃
MN8014 KV100,T-MOTOR G29*9.5",65%,47.47,6019,1.99,14.76,2760,701,8.59,66℃
MN8014 KV100,T-MOTOR G29*9.5",70%,47.39,6941,2.28,18.19,2958,862,8.05,66℃
MN8014 KV100,T-MOTOR G29*9.5",75%,47.33,7818,2.56,21.59,3136,1022,7.65,66℃
MN8014 KV100,T-MOTOR G29*9.5",80%,47.25,8712,2.85,25.48,3300,1204,7.24,66℃
MN8014 KV100,T-MOTOR G29*9.5",90%,46.99,10536,3.44,33.82,3603,1589,6.63,66℃
MN8014 KV100,T-MOTOR G29*9.5",100%,46.77,12823,4.19,45.68,3947,2136,6.00,66℃
MN8014 KV100,T-MOTOR G30*10.5",40%,47.68,2720,0.94,4.62,1725,220,12.35,92℃
MN8014 KV100,T-MOTOR G30*10.5",45%,47.63,3255,1.12,6.01,1882,286,11.37,92℃
MN8014 KV100,T-MOTOR G30*10.5",50%,47.50,3949,1.36,7.79,2062,370,10.68,92℃
MN8014 KV100,T-MOTOR G30*10.5",55%,47.40,4858,1.67,10.51,2278,498,9.75,92℃
MN8014 KV100,T-MOTOR G30*10.5",60%,47.29,5851,2.01,13.57,2494,642,9.12,92℃
MN8014 KV100,T-MOTOR G30*10.5",65%,47.25,6771,2.32,16.93,2677,800,8.46,92℃
MN8014 KV100,T-MOTOR G30*10.5",70%,47.14,7798,2.67,20.93,2865,987,7.90,92℃
MN8014 KV100,T-MOTOR G30*10.5",75%,47.07,8790,3.01,25.04,3038,1179,7.46,92℃
MN8014 KV100,T-MOTOR G30*10.5",80%,47.01,9815,3.36,29.61,3198,1392,7.05,92℃
MN8014 KV100,T-MOTOR G30*10.5",90%,46.86,11778,4.04,39.55,3493,1853,6.36,92℃
MN8014 KV100,T-MOTOR G30*10.5",100%,46.65,13940,4.79,51.94,3775,2423,5.75,92℃
