Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN1018 KV72,G34*11.5,40%,88.69,8219,3.70,11.84,2474,1050,7.83,155℃
MN1018 KV72,G34*11.5,45%,88.63,9540,4.17,14.53,2650,1288,7.41,155℃
MN1018 KV72,G34*11.5,50%,88.56,10683,4.63,17.32,2817,1534,6.97,155℃
MN1018 KV72,G34*11.5,55%,88.48,12212,5.24,20.91,2990,1850,6.60,155℃
MN1018 KV72,G34*11.5,60%,88.38,13690,5.85,24.99,3144,2208,6.20,155℃
MN1018 KV72,G34*11.5,65%,88.30,15389,6.50,29.56,3340,2610,5.90,155℃
MN1018 KV72,G34*11.5,70%,88.19,17267,7.32,34.66,3524,3057,5.65,155℃
MN1018 KV72,G34*11.5,75%,88.00,19298,8.16,41.39,3710,3642,5.31,155℃
MN1018 KV72,G34*11.5,80%,88.00,20747,8.72,44.96,3845,3956,5.25,155℃
MN1018 KV72,G34*11.5,90%,87.65,24973,10.40,59.61,4212,5224,4.78,155℃
MN1018 KV72,G34*11.5,100%,87.51,27434,11.37,68.01,4404,5951,4.61,155℃
MN1018 KV72,G36*11.5,40%,88.67,8907,4.11,12.61,2361,1118,7.96,HOT
MN1018 KV72,G36*11.5,45%,88.59,10574,4.76,15.95,2546,1413,7.49,HOT
MN1018 KV72,G36*11.5,50%,88.52,12141,5.41,19.42,2721,1719,7.06,HOT
MN1018 KV72,G36*11.5,55%,88.42,14125,6.26,24.29,2907,2148,6.58,HOT
MN1018 KV72,G36*11.5,60%,88.33,15760,6.98,28.59,3063,2525,6.24,HOT
MN1018 KV72,G36*11.5,65%,88.19,17644,7.76,34.41,3215,3034,5.82,HOT
MN1018 KV72,G36*11.5,70%,88.07,19868,8.76,41.02,3406,3612,5.50,HOT
MN1018 KV72,G36*11.5,75%,87.91,22170,9.73,47.69,3576,4193,5.29,HOT
MN1018 KV72,G36*11.5,80%,87.81,24049,10.38,53.74,3708,4719,5.10,HOT
MN1018 KV72,G36*11.5,90%,87.44,28179,12.08,68.95,3991,6029,4.67,HOT
MN1018 KV72,G36*11.5,100%,87.26,30808,13.20,78.93,4174,6888,4.47,HOT
