Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN705S KV125,T-MOTOR G26*8.5,40%,47.83,2452,0.86,4.50,2271,215,11.39,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,42%,47.81,2646,0.92,4.90,2355,234,11.29,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,44%,47.78,2814,0.98,5.30,2426,253,11.11,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,46%,47.77,3100,1.05,6.00,2529,287,10.82,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,48%,47.74,3254,1.13,6.50,2588,310,10.49,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,50%,47.72,3538,1.20,7.30,2694,348,10.16,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,52%,47.69,3757,1.26,7.90,2798,377,9.97,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,54%,47.67,3925,1.34,8.50,2857,405,9.69,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,56%,47.64,4271,1.42,9.50,2957,453,9.44,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,58%,47.60,4471,1.52,10.30,3030,490,9.12,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,60%,47.58,4835,1.59,11.70,3156,557,8.69,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,62%,47.55,5049,1.67,12.40,3212,590,8.56,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,64%,47.51,5222,1.76,13.10,3284,622,8.39,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,66%,47.48,5460,1.84,13.90,3357,660,8.27,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,68%,47.45,5672,1.91,14.80,3431,702,8.08,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,70%,47.41,5851,2.02,15.60,3504,740,7.91,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,75%,47.33,6472,2.16,18.30,3684,866,7.47,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,80%,47.21,7103,2.41,20.60,3841,973,7.30,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,90%,46.97,8361,2.87,26.80,4118,1259,6.64,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G26*8.5,100%,46.72,10251,3.29,36.40,4518,1701,6.03,74 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,40%,47.81,2639,0.97,4.70,2238,225,11.74,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,42%,47.79,2871,1.03,5.30,2326,253,11.33,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,44%,47.76,2980,1.09,5.80,2400,277,10.76,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,46%,47.74,3167,1.16,6.20,2466,296,10.70,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,48%,47.71,3452,1.25,6.90,2512,329,10.49,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,50%,47.69,3610,1.30,7.50,2644,358,10.09,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,52%,47.66,3940,1.38,8.50,2746,405,9.73,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,54%,47.64,4224,1.46,9.40,2840,448,9.43,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,56%,47.61,4401,1.54,10.10,2907,481,9.15,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,58%,47.57,4700,1.63,10.90,2998,519,9.06,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,60%,47.53,4932,1.74,11.70,3059,556,8.87,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,62%,47.50,5300,1.83,13.20,3119,627,8.45,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,64%,47.47,5502,1.91,13.90,3232,660,8.34,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,66%,47.43,5788,2.00,15.00,3306,711,8.14,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,68%,47.39,6106,2.08,16.20,3397,768,7.95,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,70%,47.34,6275,2.18,17.00,3445,805,7.80,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,75%,47.24,7066,2.42,19.90,3615,940,7.52,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,80%,47.12,7710,2.65,22.80,3772,1074,7.18,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,90%,46.88,9247,3.08,30.10,4107,1411,6.55,85 (Ambient Temperature: 34.5℃)
MN705S KV125,T-MOTOR G27*8.8,100%,46.60,10977,3.53,40.00,4480,1864,5.89,85 (Ambient Temperature: 34.5℃)
MN705S KV140,T-MOTOR G26*8.5,40%,47.91,2427,0.75,4.76,2221,228,10.64,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,42%,47.91,2665,0.83,5.28,2318,253,10.53,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,44%,47.89,2818,0.88,5.81,2391,278,10.13,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,46%,47.87,3020,0.95,6.53,2472,313,9.66,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,48%,47.87,3201,0.99,6.98,2549,334,9.58,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,50%,47.86,3416,1.07,7.63,2630,365,9.36,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,52%,47.85,3630,1.14,8.20,2728,392,9.25,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,54%,47.80,4043,1.26,9.84,2863,470,8.60,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,56%,47.80,4319,1.35,10.59,2952,506,8.53,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,58%,47.80,4593,1.44,11.40,3044,545,8.43,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,60%,47.77,4946,1.56,12.58,3154,601,8.23,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,62%,47.73,5258,1.64,13.93,3254,665,7.91,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,64%,47.72,5569,1.75,15.13,3350,722,7.72,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,66%,47.69,5874,1.83,16.35,3441,780,7.53,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,68%,47.67,6194,1.93,17.62,3537,840,7.38,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,70%,47.64,6572,2.05,19.23,3629,916,7.17,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,75%,47.56,7374,2.29,22.76,3835,1082,6.81,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,80%,47.49,8339,2.57,27.02,4051,1283,6.50,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,90%,47.31,10221,3.13,36.83,4468,1742,5.87,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G26*8.5,100%,47.12,12225,3.72,48.48,4860,2284,5.35,96 (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,40%,47.87,2757,0.88,5.33,2195,255,10.80,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,42%,47.85,3003,0.96,6.00,2289,287,10.46,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,44%,47.85,3154,1.02,6.55,2363,313,10.07,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,46%,47.83,3364,1.08,7.30,2437,349,9.63,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,48%,47.82,3615,1.16,7.90,2516,378,9.57,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,50%,47.82,3797,1.22,8.42,2581,403,9.43,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,52%,47.79,4076,1.31,9.42,2673,450,9.05,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,54%,47.76,4458,1.44,10.70,2790,511,8.73,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,56%,47.74,4781,1.53,11.76,2887,561,8.52,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,58%,47.71,5078,1.64,13.06,2973,623,8.15,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,60%,47.69,5457,1.75,14.44,3086,689,7.92,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,62%,47.68,5924,1.91,15.95,3207,761,7.79,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,64%,47.64,6224,2.01,17.26,3292,822,7.57,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,66%,47.63,6572,2.12,18.48,3377,880,7.47,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,68%,47.60,6902,2.21,19.98,3459,951,7.26,HOT (Ambient Temperature: 5℃)
MN705S KV140,T-MOTOR G27*8.8,70%,47.56,7349,2.36,21.78,3558,1036,7.09,HOT (Ambient Temperature: 5℃)
