Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN801S KV120,T-MOTOR G28*9.2,40%,47.81,3083,0.85,5.42,1930,259,11.90,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,42%,47.81,3259,0.91,5.84,1984,279,11.67,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,44%,47.83,3506,0.98,6.45,2076,309,11.36,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,46%,47.83,3724,1.04,7.05,2174,337,11.04,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,48%,47.84,3985,1.11,7.74,2264,370,10.76,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,50%,47.84,4247,1.19,8.48,2356,406,10.47,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,52%,47.82,4477,1.28,9.12,2432,436,10.26,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,54%,47.82,4746,1.35,9.91,2512,474,10.01,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,56%,47.82,5010,1.43,10.74,2597,514,9.75,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,58%,47.82,5299,1.51,11.62,2676,556,9.53,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,60%,47.82,5566,1.58,12.47,2775,596,9.33,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,62%,47.83,5816,1.66,13.36,2857,639,9.10,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,64%,47.83,6085,1.74,14.30,2942,684,8.89,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,66%,47.85,6329,1.81,15.24,3020,729,8.68,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,68%,47.85,6769,1.94,16.90,3138,809,8.37,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,70%,47.80,7059,2.03,17.92,3204,857,8.24,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,75%,47.79,7721,2.24,20.63,3396,986,7.83,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,80%,47.80,8402,2.45,23.59,3567,1128,7.45,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,90%,47.81,9924,2.90,30.65,3903,1465,6.77,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G28*9.2,100%,47.83,10472,3.44,40.28,4277,1927,5.43,78.5 (Ambient Temperature :0℃)
MN801S KV120,T-MOTOR G29*9.5,40%,47.91,3662,1.25,6.14,1900,294,12.44,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,42%,47.91,3880,1.31,6.67,1956,320,12.13,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,44%,47.91,4154,1.40,7.35,2054,352,11.79,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,46%,47.91,4397,1.48,8.05,2130,386,11.39,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,48%,47.91,4694,1.57,8.79,2208,421,11.15,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,50%,47.92,4976,1.66,9.61,2293,460,10.81,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,52%,47.91,5284,1.75,10.48,2376,502,10.52,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,54%,47.91,5557,1.84,11.27,2451,540,10.30,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,56%,47.93,5891,1.94,12.23,2530,586,10.04,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,58%,47.93,6247,2.05,13.33,2610,639,9.78,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,60%,47.93,6596,2.15,14.36,2684,688,9.58,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,62%,47.93,6930,2.26,15.46,2777,741,9.35,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,64%,47.93,7205,2.35,16.54,2854,793,9.09,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,66%,47.93,7515,2.45,17.64,2930,845,8.89,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,68%,47.93,7796,2.55,18.77,3108,899,8.67,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,70%,47.93,8277,2.70,20.72,3178,993,8.33,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,75%,47.92,9108,2.94,23.77,3372,1139,7.99,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,80%,47.92,9793,3.19,27.35,3437,1310,7.47,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,90%,47.92,10426,3.73,37.77,3774,1810,5.76,109.5 (Ambient Temperature: 0℃)
MN801S KV120,T-MOTOR G29*9.5,100%,47.92,11683,4.16,48.79,4045,2338,4.99,109.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,40%,47.91,3509,0.83,7.03,2616,337,10.41,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,42%,47.91,3735,0.90,7.72,2702,370,10.10,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,44%,47.91,4028,0.98,8.54,2826,409,9.84,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,46%,47.91,4317,1.05,9.39,2928,450,9.59,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,48%,47.90,4604,1.13,10.28,3070,492,9.34,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,50%,47.92,5057,1.27,11.91,3174,571,8.86,86.5 (Ambient Temperature: 0℃)
MN801S KV150,T-MOTOR G26*8.5,52%,47.90,5275,1.33,12.64,3302,606,8.71,86.5 (Ambient Temperature: 0℃)
