Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Torque (N*m),Operating Temperature (℃)
MN5208 KV340,24,T-MOTOR 15*5CF,50%,3.4,80.6,765,3972,9.49,0.149,53
MN5208 KV340,24,T-MOTOR 15*5CF,55%,4.3,103.4,945,4383,9.14,0.18,53
MN5208 KV340,24,T-MOTOR 15*5CF,60%,5.5,130.8,1123,4762,8.59,0.214,53
MN5208 KV340,24,T-MOTOR 15*5CF,65%,6.6,157.2,1298,5108,8.26,0.243,53
MN5208 KV340,24,T-MOTOR 15*5CF,75%,9.5,227.5,1689,5862,7.42,0.318,53
MN5208 KV340,24,T-MOTOR 15*5CF,85%,12.8,306.5,2075,6484,6.77,0.386,53
MN5208 KV340,24,T-MOTOR 15*5CF,100%,18.1,433.4,2669,7497,6.16,0.493,53
MN5208 KV340,24,T-MOTOR 16*5.4CF,50%,4.1,99.4,950,3852,9.56,0.189,56
MN5208 KV340,24,T-MOTOR 16*5.4CF,55%,5.3,127.0,1165,4235,9.18,0.231,56
MN5208 KV340,24,T-MOTOR 16*5.4CF,60%,6.7,160.3,1385,4606,8.64,0.274,56
MN5208 KV340,24,T-MOTOR 16*5.4CF,65%,8.4,201.4,1625,5020,8.07,0.316,56
MN5208 KV340,24,T-MOTOR 16*5.4CF,75%,12.2,292.8,2137,5674,7.30,0.418,56
MN5208 KV340,24,T-MOTOR 16*5.4CF,85%,16.2,387.6,2592,6209,6.69,0.5,56
MN5208 KV340,24,T-MOTOR 16*5.4CF,100%,22.7,543.8,3273,6928,6.02,0.634,56
MN5208 KV340,24,T-MOTOR 17*5.8CF,50%,5.0,120.5,1135,3770,9.42,0.241,73
MN5208 KV340,24,T-MOTOR 17*5.8CF,55%,6.5,155.5,1358,4122,8.73,0.287,73
MN5208 KV340,24,T-MOTOR 17*5.8CF,60%,8.2,196.8,1615,4485,8.21,0.337,73
MN5208 KV340,24,T-MOTOR 17*5.8CF,65%,10.4,249.4,1910,4856,7.66,0.397,73
MN5208 KV340,24,T-MOTOR 17*5.8CF,75%,14.6,349.4,2396,5432,6.86,0.497,73
MN5208 KV340,24,T-MOTOR 17*5.8CF,85%,19.4,465.8,2868,5947,6.16,0.599,73
MN5208 KV340,24,T-MOTOR 17*5.8CF,100%,26.5,636.2,3555,6578,5.59,0.74,73
MN5208 KV340,24,T-MOTOR 18*6.1CF,50%,5.9,140.6,1315,3636,9.35,0.287,HOT
MN5208 KV340,24,T-MOTOR 18*6.1CF,55%,7.8,186.2,1665,4015,8.94,0.359,HOT
MN5208 KV340,24,T-MOTOR 18*6.1CF,60%,9.4,225.3,1935,4353,8.59,0.415,HOT
MN5208 KV340,24,T-MOTOR 18*6.1CF,65%,11.9,285.4,2230,4641,7.81,0.478,HOT
MN5208 KV340,24,T-MOTOR 18*6.1CF,75%,17.1,411.1,2825,5211,6.87,0.602,HOT
MN5208 KV340,24,T-MOTOR 18*6.1CF,85%,22.5,538.8,3350,5628,6.22,0.712,HOT
MN5208 KV340,24,T-MOTOR 18*6.1CF,100%,31.1,747.4,4125,6181,5.52,0.871,HOT
