Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN3510 KV360,14.8,T-MOTOR 14*4.8CF,50%,1.2,17.76,280,2600,15.77,40
MN3510 KV360,14.8,T-MOTOR 14*4.8CF,65%,2.5,37.00,500,3400,13.51,40
MN3510 KV360,14.8,T-MOTOR 14*4.8CF,75%,3.5,51.80,620,3800,11.97,40
MN3510 KV360,14.8,T-MOTOR 14*4.8CF,85%,4.9,72.52,760,4300,10.48,40
MN3510 KV360,14.8,T-MOTOR 14*4.8CF,100%,5.7,84.36,870,4600,10.31,40
MN3510 KV360,14.8,T-MOTOR 15*5CF,50%,1.5,22.20,340,2600,15.32,42
MN3510 KV360,14.8,T-MOTOR 15*5CF,65%,3,44.40,580,3300,13.06,42
MN3510 KV360,14.8,T-MOTOR 15*5CF,75%,4.5,66.60,760,3800,11.41,42
MN3510 KV360,14.8,T-MOTOR 15*5CF,85%,5.8,85.84,900,4100,10.48,42
MN3510 KV360,14.8,T-MOTOR 15*5CF,100%,6.8,100.64,1000,4400,9.94,42
MN3510 KV360,14.8,T-MOTOR 16*5.4CF,50%,1.73,25.60,380,2450,14.84,40
MN3510 KV360,14.8,T-MOTOR 16*5.4CF,65%,3.6,53.28,630,3200,11.82,40
MN3510 KV360,14.8,T-MOTOR 16*5.4CF,75%,5.3,78.44,800,3700,10.20,40
MN3510 KV360,14.8,T-MOTOR 16*5.4CF,85%,6.9,102.12,1000,4000,9.79,40
MN3510 KV360,14.8,T-MOTOR 16*5.4CF,100%,8.1,119.88,1100,4300,9.18,40
MN3510 KV360,22.2,T-MOTOR 12*4CF,50%,1.6,35.52,350,4300,9.85,43
MN3510 KV360,22.2,T-MOTOR 12*4CF,65%,2.7,59.94,560,5300,9.34,43
MN3510 KV360,22.2,T-MOTOR 12*4CF,75%,4,88.80,760,6000,8.56,43
MN3510 KV360,22.2,T-MOTOR 12*4CF,85%,5.5,122.10,930,6600,7.62,43
MN3510 KV360,22.2,T-MOTOR 12*4CF,100%,6.4,142.08,1060,7000,7.46,43
MN3510 KV360,22.2,T-MOTOR 13*4.4CF,50%,1.8,39.96,460,4200,11.51,43
MN3510 KV360,22.2,T-MOTOR 13*4.4CF,65%,3.4,75.48,730,5300,9.67,43
MN3510 KV360,22.2,T-MOTOR 13*4.4CF,75%,4.8,106.56,900,5900,8.45,43
MN3510 KV360,22.2,T-MOTOR 13*4.4CF,85%,6.2,137.64,1100,6500,7.99,43
MN3510 KV360,22.2,T-MOTOR 13*4.4CF,100%,7.5,166.50,1300,6900,7.81,43
MN3510 KV360,22.2,T-MOTOR 14*4.8CF,50%,2.5,55.50,660,4000,11.89,50
MN3510 KV360,22.2,T-MOTOR 14*4.8CF,65%,4.7,104.34,1000,4900,9.58,50
MN3510 KV360,22.2,T-MOTOR 14*4.8CF,75%,6.8,150.96,1280,5500,8.48,50
MN3510 KV360,22.2,T-MOTOR 14*4.8CF,85%,8.8,195.36,1500,6000,7.68,50
MN3510 KV360,22.2,T-MOTOR 14*4.8CF,100%,10.6,235.32,1700,6500,7.22,50
MN3510 KV360,22.2,T-MOTOR 15*5CF,50%,3,66.60,780,3800,11.71,60
MN3510 KV360,22.2,T-MOTOR 15*5CF,65%,5.6,124.32,1180,4500,9.49,60
MN3510 KV360,22.2,T-MOTOR 15*5CF,75%,7.7,170.94,1460,5300,8.54,60
MN3510 KV360,22.2,T-MOTOR 15*5CF,85%,10.6,235.32,1700,5720,7.22,60
MN3510 KV360,22.2,T-MOTOR 15*5CF,100%,12.5,277.50,1900,6040,6.85,60
MN3510 KV630,14.8,T-MOTOR 12*4CF,50%,2.8,41.44,440,4500,10.62,43
MN3510 KV630,14.8,T-MOTOR 12*4CF,65%,5.3,78.44,750,5700,9.56,43
MN3510 KV630,14.8,T-MOTOR 12*4CF,75%,7.6,112.48,910,6500,8.09,43
MN3510 KV630,14.8,T-MOTOR 12*4CF,85%,10,148.00,1100,7000,7.43,43
MN3510 KV630,14.8,T-MOTOR 12*4CF,100%,12.3,182.04,1260,7500,6.92,43
MN3510 KV630,14.8,T-MOTOR 13*4.4CF,50%,3.4,50.32,540,4500,10.73,44
MN3510 KV630,14.8,T-MOTOR 13*4.4CF,65%,6.1,90.28,860,5500,9.53,44
MN3510 KV630,14.8,T-MOTOR 13*4.4CF,75%,8.8,130.24,1100,6300,8.45,44
MN3510 KV630,14.8,T-MOTOR 13*4.4CF,85%,11.8,174.64,1300,6800,7.44,44
MN3510 KV630,14.8,T-MOTOR 13*4.4CF,100%,14,207.20,1500,7300,7.24,44
MN3510 KV630,14.8,T-MOTOR 14*4.8CF,50%,4.6,68.08,700,4100,10.28,53
MN3510 KV630,14.8,T-MOTOR 14*4.8CF,65%,8.7,128.76,1110,5300,8.62,53
MN3510 KV630,14.8,T-MOTOR 14*4.8CF,75%,11.8,174.64,1360,5700,7.79,53
MN3510 KV630,14.8,T-MOTOR 14*4.8CF,85%,16.4,242.72,1700,6300,7.00,53
MN3510 KV630,14.8,T-MOTOR 14*4.8CF,100%,20,296.00,1850,6600,6.25,53
MN3510 KV700,11.1,T-MOTOR 12*4CF,50%,2.5,27.75,350,4000,12.61,40
MN3510 KV700,11.1,T-MOTOR 12*4CF,65%,4.8,53.28,550,4900,10.32,40
MN3510 KV700,11.1,T-MOTOR 12*4CF,75%,6.6,73.26,700,5500,9.56,40
MN3510 KV700,11.1,T-MOTOR 12*4CF,85%,9.1,101.01,870,6300,8.61,40
MN3510 KV700,11.1,T-MOTOR 12*4CF,100%,11.1,123.21,1000,6600,8.12,40
MN3510 KV700,11.1,T-MOTOR 13*4.4CF,50%,2.9,32.19,400,3800,12.43,42
MN3510 KV700,11.1,T-MOTOR 13*4.4CF,65%,5.6,62.16,650,4900,10.46,42
MN3510 KV700,11.1,T-MOTOR 13*4.4CF,75%,7.9,87.69,830,5300,9.47,42
MN3510 KV700,11.1,T-MOTOR 13*4.4CF,85%,10.5,116.55,1000,6000,8.58,42
MN3510 KV700,11.1,T-MOTOR 13*4.4CF,100%,12.6,139.86,1100,6400,7.87,42
MN3510 KV700,11.1,T-MOTOR 14*4.8CF,50%,4.1,45.51,550,3500,12.09,43
MN3510 KV700,11.1,T-MOTOR 14*4.8CF,65%,7.7,85.47,890,4500,10.41,43
MN3510 KV700,11.1,T-MOTOR 14*4.8CF,75%,10.7,118.77,1060,4900,8.92,43
MN3510 KV700,11.1,T-MOTOR 14*4.8CF,85%,14.5,160.95,1300,5500,8.08,43
MN3510 KV700,11.1,T-MOTOR 14*4.8CF,100%,17.3,192.03,1460,5800,7.60,43
MN3510 KV700,14.8,T-MOTOR 11*3.7CF,50%,3.2,47.36,460,5300,9.71,43
MN3510 KV700,14.8,T-MOTOR 11*3.7CF,65%,6,88.80,710,6500,8.00,43
MN3510 KV700,14.8,T-MOTOR 11*3.7CF,75%,8.2,121.36,870,7500,7.17,43
MN3510 KV700,14.8,T-MOTOR 11*3.7CF,85%,11,162.80,1080,8200,6.63,43
MN3510 KV700,14.8,T-MOTOR 11*3.7CF,100%,13,192.40,1230,8700,6.39,43
MN3510 KV700,14.8,T-MOTOR 12*4CF,50%,3.8,56.24,580,5000,10.31,43
MN3510 KV700,14.8,T-MOTOR 12*4CF,65%,7.4,109.52,880,6300,8.04,43
MN3510 KV700,14.8,T-MOTOR 12*4CF,75%,10.3,152.44,1100,7300,7.22,43
MN3510 KV700,14.8,T-MOTOR 12*4CF,85%,14,207.20,1360,7700,6.56,43
MN3510 KV700,14.8,T-MOTOR 12*4CF,100%,16.8,248.64,1600,8300,6.44,43
MN3510 KV700,14.8,T-MOTOR 13*4.4CF,50%,4.7,69.56,730,4900,10.49,47
MN3510 KV700,14.8,T-MOTOR 13*4.4CF,65%,9,133.20,1120,6100,8.41,47
MN3510 KV700,14.8,T-MOTOR 13*4.4CF,75%,12.3,182.04,1400,6800,7.69,47
MN3510 KV700,14.8,T-MOTOR 13*4.4CF,85%,16,236.80,1600,7400,6.76,47
MN3510 KV700,14.8,T-MOTOR 13*4.4CF,100%,19.4,287.12,1800,7850,6.27,47
