Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN4014 KV330,22.2,T-MOTOR 15*5CF,50%,3.6,79.92,830,3900,10.39,45
MN4014 KV330,22.2,T-MOTOR 15*5CF,65%,5.9,130.98,1150,4600,8.78,45
MN4014 KV330,22.2,T-MOTOR 15*5CF,75%,7.8,173.16,1430,5100,8.26,45
MN4014 KV330,22.2,T-MOTOR 15*5CF,85%,10.1,224.22,1690,5600,7.54,45
MN4014 KV330,22.2,T-MOTOR 15*5CF,100%,11.9,264.18,1920,6000,7.27,45
MN4014 KV330,22.2,T-MOTOR 16*5.4CF,50%,4.3,95.46,950,3700,9.95,50
MN4014 KV330,22.2,T-MOTOR 16*5.4CF,65%,7,155.40,1420,4400,9.14,50
MN4014 KV330,22.2,T-MOTOR 16*5.4CF,75%,9.6,213.12,1750,4900,8.21,50
MN4014 KV330,22.2,T-MOTOR 16*5.4CF,85%,12.5,277.50,2060,5400,7.42,50
MN4014 KV330,22.2,T-MOTOR 16*5.4CF,100%,14.7,326.34,2390,5600,7.32,50
MN4014 KV330,22.2,T-MOTOR 17*5.8CF,50%,4.7,104.34,1050,3400,10.06,55
MN4014 KV330,22.2,T-MOTOR 17*5.8CF,65%,8,177.60,1580,4100,8.90,55
MN4014 KV330,22.2,T-MOTOR 17*5.8CF,75%,10.7,237.54,1970,4600,8.29,55
MN4014 KV330,22.2,T-MOTOR 17*5.8CF,85%,14.4,319.68,2300,5100,7.19,55
MN4014 KV330,22.2,T-MOTOR 17*5.8CF,100%,17,377.40,2600,5400,6.89,55
MN4014 KV400,22.2,T-MOTOR 15*5CF,50%,5.7,126.54,1250,4500,9.88,46
MN4014 KV400,22.2,T-MOTOR 15*5CF,65%,9.1,202.02,1630,5200,8.07,46
MN4014 KV400,22.2,T-MOTOR 15*5CF,75%,12,266.40,1950,5800,7.32,46
MN4014 KV400,22.2,T-MOTOR 15*5CF,85%,15.8,350.76,2370,6400,6.76,46
MN4014 KV400,22.2,T-MOTOR 15*5CF,100%,18.7,415.14,2620,6700,6.31,46
MN4014 KV400,22.2,T-MOTOR 16*5.4CF,50%,6.4,142.08,1410,4200,9.92,53
MN4014 KV400,22.2,T-MOTOR 16*5.4CF,65%,11,244.20,1920,5000,7.86,53
MN4014 KV400,22.2,T-MOTOR 16*5.4CF,75%,14.6,324.12,2380,5500,7.34,53
MN4014 KV400,22.2,T-MOTOR 16*5.4CF,85%,19.1,424.02,2790,6100,6.58,53
MN4014 KV400,22.2,T-MOTOR 16*5.4CF,100%,22.5,499.50,3020,6300,6.05,53
MN4014 KV400,22.2,T-MOTOR 17*5.8CF,50%,7.6,168.72,1530,4000,9.07,67
MN4014 KV400,22.2,T-MOTOR 17*5.8CF,65%,12.8,284.16,2180,4800,7.67,67
MN4014 KV400,22.2,T-MOTOR 17*5.8CF,75%,16.7,370.74,2550,5250,6.88,67
MN4014 KV400,22.2,T-MOTOR 17*5.8CF,85%,2.17,48.17,3110,5700,64.56,67
MN4014 KV400,22.2,T-MOTOR 17*5.8CF,100%,25.7,570.54,3360,6000,5.89,67
