Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN4110 KV300,T16*8,40%,23.83,631,0.13,2.14,2824,51,12.37,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,42%,23.80,716,0.15,2.57,3002,61,11.72,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,44%,23.79,771,0.16,2.86,3102,68,11.34,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,46%,23.77,825,0.17,3.13,3203,74,11.09,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,48%,23.76,873,0.18,3.39,3289,81,10.83,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,50%,23.74,923,0.19,3.71,3393,88,10.48,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,52%,23.73,976,0.20,4.01,3487,95,10.25,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,54%,23.71,1032,0.21,4.35,3588,103,10.00,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,56%,23.69,1094,0.23,4.72,3675,112,9.79,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,58%,23.68,1146,0.24,5.02,3751,119,9.64,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,60%,23.66,1210,0.25,5.44,3855,129,9.39,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,62%,23.64,1273,0.27,5.91,3950,140,9.11,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,64%,23.62,1334,0.28,6.30,4035,149,8.97,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,66%,23.60,1398,0.29,6.76,4127,160,8.76,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,68%,23.58,1464,0.31,7.28,4225,172,8.53,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,70%,23.56,1525,0.32,7.74,4304,182,8.36,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,72%,23.53,1596,0.33,8.27,4393,195,8.20,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,74%,23.51,1654,0.34,8.75,4472,206,8.04,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,76%,23.48,1722,0.36,9.35,4569,219,7.85,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,78%,23.46,1803,0.38,9.99,4656,234,7.69,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,80%,23.43,1868,0.39,10.61,4736,249,7.52,76 (Ambient Temperature: 15℃)
MN4110 KV300,T16*8,90%,23.31,2226,0.47,13.92,5144,324,6.86,76 (Ambient Temperature: 15℃)
