Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN4112 KV320,P15*5",40%,23.47,566,0.10,1.96,3196,46,12.31,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",42%,23.46,600,0.11,2.14,3298,50,11.93,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",44%,23.46,645,0.12,2.37,3417,56,11.63,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",46%,23.46,691,0.13,2.56,3523,60,11.48,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",48%,23.45,739,0.14,2.82,3641,66,11.18,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",50%,23.44,789,0.14,3.05,3745,72,11.02,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",52%,23.43,838,0.15,3.34,3859,78,10.69,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",54%,23.43,888,0.16,3.59,3969,84,10.56,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",56%,23.42,940,0.17,3.89,4085,91,10.31,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",58%,23.41,1000,0.18,4.26,4208,100,10.02,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",60%,23.41,1049,0.19,4.57,4313,107,9.82,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",62%,23.40,1108,0.20,4.89,4431,114,9.68,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",64%,23.39,1171,0.21,5.28,4547,124,9.47,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",66%,23.38,1226,0.22,5.68,4663,133,9.23,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",68%,23.38,1286,0.23,6.05,4774,141,9.10,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",70%,23.37,1347,0.24,6.50,4886,152,8.87,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",72%,23.36,1416,0.25,6.95,4999,162,8.72,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",74%,23.35,1482,0.27,7.43,5112,174,8.54,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",76%,23.34,1535,0.28,7.85,5215,183,8.38,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",78%,23.33,1597,0.29,8.34,5325,195,8.21,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",80%,23.32,1671,0.30,8.90,5437,208,8.05,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",90%,23.27,2035,0.36,11.82,5956,275,7.40,79 (Ambient Temperature: 15℃)
MN4112 KV320,P15*5",100%,23.19,2551,0.46,16.59,6632,385,6.63,79 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",40%,23.94,706,0.14,2.49,3207,60,11.83,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",42%,23.94,757,0.15,2.73,3310,65,11.58,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",44%,23.93,816,0.16,3.00,3423,72,11.37,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",46%,23.93,873,0.17,3.28,3533,79,11.11,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",48%,23.92,932,0.18,3.59,3648,86,10.85,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",50%,23.91,991,0.19,3.89,3749,93,10.66,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",52%,23.90,1061,0.20,4.28,3862,102,10.38,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",54%,23.90,1127,0.21,4.63,3968,111,10.20,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",56%,23.89,1195,0.23,5.03,4082,120,9.95,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",58%,23.88,1264,0.24,5.46,4197,130,9.70,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",60%,23.87,1327,0.25,5.87,4302,140,9.47,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",62%,23.86,1408,0.26,6.33,4415,151,9.32,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",64%,23.85,1486,0.28,6.82,4528,163,9.13,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",66%,23.84,1568,0.30,7.37,4640,176,8.92,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",68%,23.83,1652,0.31,7.94,4744,189,8.73,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",70%,23.82,1725,0.33,8.49,4849,202,8.53,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",72%,23.81,1805,0.34,9.07,4957,216,8.36,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",74%,23.80,1896,0.36,9.75,5066,232,8.17,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",76%,23.78,1970,0.37,10.39,5169,247,7.97,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",78%,23.78,2052,0.38,10.93,5269,260,7.89,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",80%,23.76,2138,0.40,11.65,5376,277,7.72,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",90%,23.70,2577,0.48,15.49,5872,367,7.02,82 (Ambient Temperature: 15℃)
MN4112 KV320,P16*5.4",100%,23.60,3179,0.59,21.69,6495,512,6.21,82 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",40%,23.93,867,0.18,3.06,3150,73,11.83,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",42%,23.93,930,0.19,3.36,3249,80,11.56,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",44%,23.91,1005,0.20,3.74,3360,89,11.23,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",46%,23.91,1075,0.22,4.09,3462,98,11.00,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",48%,23.90,1141,0.23,4.48,3573,107,10.67,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",50%,23.89,1208,0.24,4.87,3674,116,10.38,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",52%,23.88,1284,0.25,5.27,3777,126,10.21,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",54%,23.87,1362,0.27,5.77,3888,138,9.89,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",56%,23.86,1439,0.28,6.22,3985,148,9.70,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",58%,23.85,1525,0.30,6.74,4094,161,9.49,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",60%,23.84,1604,0.31,7.28,4197,174,9.23,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",62%,23.82,1687,0.33,7.85,4299,187,9.02,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",64%,23.82,1775,0.35,8.43,4406,201,8.84,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",66%,23.80,1869,0.37,9.10,4515,217,8.63,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",68%,23.79,1954,0.38,9.77,4617,233,8.40,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",70%,23.78,2049,0.40,10.47,4714,249,8.23,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",72%,23.77,2143,0.42,11.20,4815,266,8.05,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",74%,23.75,2233,0.44,11.93,4913,284,7.88,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",76%,23.74,2331,0.46,12.74,5012,302,7.71,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",78%,23.73,2426,0.48,13.61,5111,323,7.51,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",80%,23.72,2513,0.49,14.28,5200,339,7.42,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",90%,23.64,3012,0.59,18.99,5655,449,6.71,81 (Ambient Temperature: 15℃)
MN4112 KV320,P17*5.8",100%,23.53,3639,0.71,26.33,6211,620,5.87,81 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",40%,23.93,804,0.17,3.00,3161,72,11.19,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",42%,23.93,863,0.18,3.29,3260,79,10.97,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",44%,23.92,926,0.20,3.63,3369,87,10.66,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",46%,23.91,986,0.21,3.98,3474,95,10.36,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",48%,23.90,1053,0.22,4.38,3586,105,10.06,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",50%,23.89,1112,0.23,4.73,3682,113,9.84,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",52%,23.88,1182,0.25,5.16,3789,123,9.58,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",54%,23.87,1252,0.26,5.61,3900,134,9.35,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",56%,23.86,1314,0.28,6.03,4002,144,9.12,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",58%,23.85,1393,0.29,6.60,4110,157,8.86,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",60%,23.85,1462,0.31,7.07,4209,168,8.68,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",62%,23.84,1538,0.32,7.59,4317,181,8.51,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",64%,23.82,1625,0.34,8.21,4425,196,8.31,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",66%,23.81,1709,0.36,8.88,4531,212,8.08,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",68%,23.80,1795,0.37,9.54,4635,227,7.91,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",70%,23.79,1871,0.39,10.18,4732,242,7.73,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",72%,23.77,1957,0.41,10.90,4835,259,7.55,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",74%,23.76,2044,0.43,11.64,4935,276,7.39,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",76%,23.75,2134,0.44,12.42,5034,295,7.23,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",78%,23.73,2218,0.46,13.21,5132,313,7.08,79 (Ambient Temperature: 15℃)
MN4112 KV320,T16*8",80%,23.72,2295,0.48,13.97,5222,331,6.93,79 (Ambient Temperature: 15℃)
