Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN8017 KV120,T-MOTOR G29*9.5",40%,47.69,2736,0.92,5.12,1881,244,11.21,76℃
MN8017 KV120,T-MOTOR G29*9.5",45%,47.63,3651,1.22,7.51,2166,358,10.21,76℃
MN8017 KV120,T-MOTOR G29*9.5",50%,47.58,4546,1.49,9.95,2401,473,9.60,76℃
MN8017 KV120,T-MOTOR G29*9.5",55%,47.52,5443,1.79,12.87,2620,612,8.90,76℃
MN8017 KV120,T-MOTOR G29*9.5",60%,47.44,6470,2.13,16.36,2856,776,8.34,76℃
MN8017 KV120,T-MOTOR G29*9.5",65%,47.37,7403,2.42,20.00,3049,947,7.81,76℃
MN8017 KV120,T-MOTOR G29*9.5",70%,47.29,8262,2.71,23.68,3215,1120,7.38,76℃
MN8017 KV120,T-MOTOR G29*9.5",75%,47.22,9240,3.03,27.89,3397,1317,7.01,76℃
MN8017 KV120,T-MOTOR G29*9.5",80%,47.14,10308,3.37,32.57,3571,1535,6.71,76℃
MN8017 KV120,T-MOTOR G29*9.5",90%,46.83,12621,4.13,44.24,3927,2072,6.09,76℃
MN8017 KV120,T-MOTOR G29*9.5",100%,46.53,15111,4.94,58.28,4268,2711,5.57,76℃
MN8017 KV120,T-MOTOR G30*10.5",40%,47.63,3098,1.08,5.86,1846,279,11.09,114℃
MN8017 KV120,T-MOTOR G30*10.5",45%,47.43,3952,1.37,8.11,2074,385,10.28,114℃
MN8017 KV120,T-MOTOR G30*10.5",50%,47.32,5030,1.73,11.20,2324,530,9.49,114℃
MN8017 KV120,T-MOTOR G30*10.5",55%,47.24,6075,2.09,14.62,2543,691,8.80,114℃
MN8017 KV120,T-MOTOR G30*10.5",60%,47.24,7168,2.47,18.57,2754,877,8.17,114℃
MN8017 KV120,T-MOTOR G30*10.5",65%,47.10,8389,2.90,23.47,2970,1105,7.59,114℃
MN8017 KV120,T-MOTOR G30*10.5",70%,47.01,9407,3.24,27.90,3137,1312,7.17,114℃
MN8017 KV120,T-MOTOR G30*10.5",75%,46.94,10518,3.62,32.94,3309,1546,6.80,114℃
MN8017 KV120,T-MOTOR G30*10.5",80%,46.84,11673,4.02,38.64,3479,1810,6.45,114℃
MN8017 KV120,T-MOTOR G30*10.5",90%,46.63,14088,4.86,51.60,3801,2406,5.86,114℃
MN8017 KV120,T-MOTOR G30*10.5",100%,46.35,16841,5.80,68.62,4123,3181,5.29,114℃
