Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN3508 KV380,14.8,T-MOTOR 14*4.8CF,50%,1.3,19.24,350,2700,18.19,43
MN3508 KV380,14.8,T-MOTOR 14*4.8CF,65%,2.9,42.92,560,3500,13.05,43
MN3508 KV380,14.8,T-MOTOR 14*4.8CF,75%,4,59.2,700,4000,11.82,43
MN3508 KV380,14.8,T-MOTOR 14*4.8CF,85%,5.2,76.96,840,4500,10.91,43
MN3508 KV380,14.8,T-MOTOR 14*4.8CF,100%,6.3,93.24,940,4700,10.08,43
MN3508 KV380,14.8,T-MOTOR 15*5CF,50%,1.6,23.68,430,2600,18.16,45
MN3508 KV380,14.8,T-MOTOR 15*5CF,65%,3.4,50.32,670,3400,13.31,45
MN3508 KV380,14.8,T-MOTOR 15*5CF,75%,5,74,820,3800,11.08,45
MN3508 KV380,14.8,T-MOTOR 15*5CF,85%,6.4,94.72,1000,4200,10.56,45
MN3508 KV380,14.8,T-MOTOR 15*5CF,100%,7.5,111,1100,4500,9.91,45
MN3508 KV380,14.8,T-MOTOR 16*5.4CF,50%,2,29.6,440,2500,14.86,46
MN3508 KV380,14.8,T-MOTOR 16*5.4CF,65%,3.9,57.72,700,3300,12.13,46
MN3508 KV380,14.8,T-MOTOR 16*5.4CF,75%,5.9,87.32,900,4000,10.31,46
MN3508 KV380,14.8,T-MOTOR 16*5.4CF,85%,7.6,112.48,1100,4500,9.78,46
MN3508 KV380,14.8,T-MOTOR 16*5.4CF,100%,9,133.2,1220,4800,9.16,46
MN3508 KV380,22.2,T-MOTOR 12*4CF,50%,1.7,37.74,430,4400,11.39,40
MN3508 KV380,22.2,T-MOTOR 12*4CF,65%,3.2,71.04,660,5400,9.29,40
MN3508 KV380,22.2,T-MOTOR 12*4CF,75%,4.6,102.12,870,6200,8.52,40
MN3508 KV380,22.2,T-MOTOR 12*4CF,85%,6.1,135.42,1040,6800,7.68,40
MN3508 KV380,22.2,T-MOTOR 12*4CF,100%,7.1,157.62,1160,7300,7.36,40
MN3508 KV380,22.2,T-MOTOR 13*4.4CF,50%,2.1,46.62,550,4300,11.80,47
MN3508 KV380,22.2,T-MOTOR 13*4.4CF,65%,3.7,82.14,810,5300,9.86,47
MN3508 KV380,22.2,T-MOTOR 13*4.4CF,75%,5.5,122.1,1000,6000,8.19,47
MN3508 KV380,22.2,T-MOTOR 13*4.4CF,85%,7.1,157.62,1300,6700,8.25,47
MN3508 KV380,22.2,T-MOTOR 13*4.4CF,100%,8.4,186.48,1380,7040,7.40,47
MN3508 KV380,22.2,T-MOTOR 14*4.8CF,50%,2.9,64.38,710,4300,11.03,63
MN3508 KV380,22.2,T-MOTOR 14*4.8CF,65%,5.3,117.66,1100,5300,9.35,63
MN3508 KV380,22.2,T-MOTOR 14*4.8CF,75%,7.5,166.5,1350,5700,8.11,63
