Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN3520 KV400,22.2,T-MOTOR 15*5CF,50%,4.5,99.90,1010,4280,10.11,50
MN3520 KV400,22.2,T-MOTOR 15*5CF,65%,8.8,195.36,1540,5400,7.88,50
MN3520 KV400,22.2,T-MOTOR 15*5CF,75%,12.3,273.06,1920,6050,7.03,50
MN3520 KV400,22.2,T-MOTOR 15*5CF,85%,16.6,368.52,2380,6700,6.46,50
MN3520 KV400,22.2,T-MOTOR 15*5CF,100%,20.3,450.66,2700,7100,5.99,50
MN3520 KV400,22.2,T-MOTOR 16*5.4CF,50%,5.3,117.66,1140,4160,9.69,55
MN3520 KV400,22.2,T-MOTOR 16*5.4CF,65%,10.2,226.44,1780,5260,7.86,55
MN3520 KV400,22.2,T-MOTOR 16*5.4CF,75%,14.4,319.68,2200,5850,6.88,55
MN3520 KV400,22.2,T-MOTOR 16*5.4CF,85%,19.4,430.68,2680,6500,6.22,55
MN3520 KV400,22.2,T-MOTOR 16*5.4CF,100%,23.2,515.04,3000,6800,5.82,55
MN3520 KV400,22.2,T-MOTOR 17*5.8CF,50%,6.5,144.30,1340,4000,9.29,67
MN3520 KV400,22.2,T-MOTOR 17*5.8CF,65%,12.5,277.50,2120,5000,7.64,67
MN3520 KV400,22.2,T-MOTOR 17*5.8CF,75%,17.7,392.94,2670,5600,6.79,67
MN3520 KV400,22.2,T-MOTOR 17*5.8CF,85%,23.3,517.26,3200,6100,6.19,67
MN3520 KV400,22.2,T-MOTOR 17*5.8CF,100%,28.1,623.82,3600,6450,5.77,67
