Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g / W),Operating Temperature (℃)
MN805S KV120,T-MOTOR G30*10.5,40%,47.99,3321,1.05,6.28,1828,301,11.03,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,42%,47.98,3727,1.15,7.39,1942,355,10.51,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,44%,48.00,4037,1.29,8.26,2030,396,10.19,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,46%,47.97,4399,1.41,9.29,2123,446,9.88,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,48%,47.98,4710,1.51,10.25,2200,492,9.58,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,50%,47.97,5027,1.62,11.25,2279,540,9.32,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,52%,48.00,5321,1.71,12.23,2346,587,9.08,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,54%,48.00,5693,1.82,13.46,2423,646,8.82,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,56%,47.99,6071,1.95,14.75,2500,708,8.59,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,58%,47.97,6341,2.04,15.75,2559,756,8.40,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,60%,47.96,6685,2.14,16.97,2618,814,8.22,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,62%,47.95,7025,2.25,18.32,2688,878,8.00,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,64%,47.96,7472,2.39,20.02,2779,960,7.79,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,66%,47.98,7887,2.56,21.77,2872,1044,7.56,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,68%,47.97,8295,2.68,23.46,2941,1125,7.38,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,70%,47.97,8740,2.82,25.22,3017,1209,7.23,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,75%,47.95,9693,3.22,30.62,3210,1468,6.60,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,80%,47.93,10485,3.60,36.31,3405,1740,6.02,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,90%,47.90,12129,4.39,49.00,3744,2347,5.17,86.3 (Ambient Temperature :0℃)
MN805S KV120,T-MOTOR G30*10.5,100%,47.89,14300,5.22,64.69,4070,3098,4.62,86.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,40%,47.92,3758,1.12,7.55,2348,362,10.39,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,42%,47.94,3948,1.18,8.17,2419,391,10.08,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,44%,47.96,4275,1.27,9.08,2518,436,9.82,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,46%,47.96,4567,1.37,9.96,2600,478,9.56,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,48%,48.00,4882,1.45,10.90,2687,523,9.33,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,50%,47.97,5182,1.55,11.87,2768,570,9.10,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,52%,47.95,5582,1.66,13.10,2862,628,8.89,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,54%,47.98,6130,1.81,14.79,2984,710,8.63,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,56%,47.95,6586,1.98,16.46,3088,789,8.34,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,58%,47.91,7137,2.13,18.23,3224,873,8.17,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,60%,47.91,7587,2.25,19.80,3317,949,7.99,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,62%,47.91,8040,2.39,21.59,3420,1034,7.77,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,64%,47.93,8547,2.55,23.47,3516,1125,7.59,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,66%,47.93,9093,2.70,25.68,3622,1230,7.39,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,68%,47.92,9481,2.84,27.61,3707,1323,7.16,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,70%,47.92,9918,2.99,29.71,3783,1424,6.97,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,75%,47.92,10731,3.36,35.56,4023,1704,6.30,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,80%,47.92,11528,3.79,42.37,4228,2030,5.68,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,90%,47.90,13778,4.63,57.81,4633,2769,4.97,96.3 (Ambient Temperature :0℃)
MN805S KV150,T-MOTOR G28*9.2,100%,47.80,16028,5.42,75.17,5013,3593,4.46,96.3 (Ambient Temperature :0℃)
MN805S KV170,T-MOTOR G26*8.5,40%,48.04,3608,0.95,7.83,2669,376,9.58,87.5 (Ambient Temperature :0℃)
