Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN601S KV170,T-MOTOR P20*6,40%,47.96,1414,0.33,2.70,3272,129,10.92,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,42%,47.95,1530,0.36,3.00,3389,144,10.64,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,44%,47.94,1620,0.39,3.30,3506,158,10.24,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,46%,47.93,1736,0.41,3.60,3624,173,10.06,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,48%,47.92,1879,0.43,4.00,3753,192,9.80,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,50%,47.90,1957,0.46,4.30,3851,206,9.50,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,52%,47.89,2151,0.48,4.80,3994,230,9.36,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,54%,47.88,2258,0.51,5.20,4121,249,9.07,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,56%,47.85,2388,0.54,5.60,4225,268,8.91,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,58%,47.84,2459,0.55,5.80,4228,277,8.86,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,60%,47.82,2540,0.59,6.20,4362,296,8.57,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,62%,47.81,2683,0.61,6.70,4481,320,8.38,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,64%,47.79,2819,0.64,7.10,4589,339,8.31,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,66%,47.76,2948,0.66,7.50,4690,358,8.23,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,68%,47.74,3115,0.70,8.30,4791,396,7.86,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,70%,47.73,3277,0.72,8.90,4923,425,7.71,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,75%,47.67,3572,0.80,10.10,5144,481,7.42,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,80%,47.62,3932,0.88,11.70,5395,557,7.06,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,90%,47.48,4751,1.07,15.40,5901,731,6.50,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P20*6,100%,47.34,5809,1.27,20.70,6482,980,5.93,67.5 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,40%,48.00,1677,0.40,3.10,3272,149,11.27,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,42%,47.98,1774,0.42,3.50,3389,168,10.56,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,44%,47.97,1966,0.45,4.00,3506,192,10.25,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,46%,47.96,2062,0.49,4.30,3624,206,10.00,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,48%,47.94,2182,0.51,4.60,3753,221,9.89,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,50%,47.92,2307,0.54,5.10,3851,244,9.44,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,52%,47.91,2463,0.58,5.50,3994,264,9.35,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,54%,47.88,2624,0.61,6.00,4121,287,9.13,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,56%,47.86,2726,0.64,6.60,4225,316,8.63,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,58%,47.85,2912,0.69,7.10,4228,340,8.57,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,60%,47.82,3027,0.68,7.50,4362,359,8.44,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,62%,47.81,3165,0.73,8.00,4481,382,8.27,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,64%,47.78,3366,0.77,8.80,4589,420,8.01,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,66%,47.75,3485,0.80,9.30,4690,444,7.85,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,68%,47.73,3641,0.84,9.80,4791,468,7.78,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,70%,47.70,3799,0.88,10.40,4923,496,7.66,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,75%,47.63,4186,0.97,12.10,5144,576,7.26,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,80%,47.55,4593,1.06,13.90,5395,661,6.95,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,90%,47.38,5412,1.25,18.10,5901,858,6.31,85 (Ambient Temperature: 34.5℃)
MN601S KV170,T-MOTOR P21*6.3,100%,47.21,6605,1.49,24.70,6482,1166,5.66,85 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,40%,23.90,976,0.24,3.80,2751,91,10.75,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,42%,23.89,1058,0.25,4.20,2850,100,10.54,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,44%,23.87,1183,0.28,4.80,2996,115,10.33,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,46%,23.85,1275,0.30,5.20,3088,124,10.28,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,48%,23.83,1389,0.33,5.80,3235,138,10.05,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,50%,23.82,1492,0.35,6.40,3376,152,9.79,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,52%,23.79,1658,0.38,7.30,3520,174,9.55,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,54%,23.76,1757,0.40,7.80,3618,185,9.48,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,56%,23.73,1894,0.42,8.50,3699,202,9.39,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,58%,23.71,1972,0.44,9.00,3829,213,9.24,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,60%,23.69,2130,0.47,9.80,3924,232,9.17,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,62%,23.66,2203,0.50,10.60,4044,251,8.78,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,64%,23.62,2307,0.52,11.40,4142,269,8.57,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,66%,23.59,2443,0.55,12.40,4268,293,8.35,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,68%,23.56,2587,0.57,13.70,4372,323,8.01,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,70%,23.53,2731,0.60,14.80,4505,348,7.84,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,75%,23.44,3040,0.68,17.00,4748,398,7.63,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,80%,23.35,3418,0.77,19.90,5017,465,7.36,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,90%,23.13,4191,0.94,26.40,5511,611,6.86,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P20*6,100%,22.92,4904,1.07,34.20,5980,784,6.26,54.5 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,40%,23.89,1194,0.30,4.50,2644,108,11.11,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,42%,23.87,1212,0.32,4.80,2777,115,10.58,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,44%,23.85,1349,0.35,5.50,2915,131,10.28,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,46%,23.83,1448,0.38,6.10,3022,145,9.96,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,48%,23.81,1599,0.41,6.80,3165,162,9.88,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,50%,23.78,1677,0.44,7.40,3272,176,9.53,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,52%,23.75,1871,0.47,8.40,3420,200,9.38,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,54%,23.71,2035,0.51,9.30,3563,221,9.23,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,56%,23.68,2123,0.55,10.00,3650,237,8.97,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,58%,23.65,2254,0.58,10.80,3729,255,8.82,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,60%,23.61,2351,0.61,11.50,3814,272,8.66,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,62%,23.58,2450,0.64,12.40,3954,292,8.38,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,64%,23.54,2593,0.68,13.20,4045,311,8.34,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,66%,23.50,2820,0.71,14.50,4154,341,8.28,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,68%,23.46,2987,0.75,15.90,4281,373,8.01,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,70%,23.42,3077,0.78,16.90,4394,396,7.77,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,75%,23.32,3490,0.86,19.60,4616,457,7.64,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,80%,23.20,3878,0.95,23.10,4851,536,7.24,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,90%,22.94,4725,1.12,31.10,5369,713,6.62,76.2 (Ambient Temperature: 34.5℃)
MN601S KV320,T-MOTOR P21*6.3,100%,22.70,5510,1.27,39.40,5755,894,6.16,76.2 (Ambient Temperature: 34.5℃)
