Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN2212 V2.0 KV780,14.8,T-MOTOR 9545B,50%,2.1,31.08,293,4260,9.43,/
MN2212 V2.0 KV780,14.8,T-MOTOR 9545B,65%,4,59.2,476,5300,8.04,/
MN2212 V2.0 KV780,14.8,T-MOTOR 9545B,75%,5.6,82.88,605,5960,7.30,/
MN2212 V2.0 KV780,14.8,T-MOTOR 9545B,85%,7.4,109.52,742,6000,6.78,/
MN2212 V2.0 KV780,14.8,T-MOTOR 9545B,100%,10.3,152.44,918,7350,6.02,/
MN2212 V2.0 KV920,11.1,T-MOTOR 9545B,50%,1.6,17.76,176,4400,9.91,/
MN2212 V2.0 KV920,11.1,T-MOTOR 9545B,65%,3,33.3,289,5500,8.68,/
MN2212 V2.0 KV920,11.1,T-MOTOR 9545B,75%,4.3,47.73,385,6400,8.07,/
MN2212 V2.0 KV920,11.1,T-MOTOR 9545B,85%,5.8,64.38,475,7000,7.38,/
MN2212 V2.0 KV920,11.1,T-MOTOR 9545B,100%,8.1,89.91,617,7800,6.86,/
