Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN505S KV320,T-MOTOR P20*6,40%,24.08,1068,0.16,4.10,2729,99,10.83,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,42%,24.07,1151,0.17,4.50,2828,109,10.59,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,44%,24.08,1264,0.20,5.10,2947,122,10.36,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,46%,24.07,1357,0.22,5.60,3069,135,10.03,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,48%,24.07,1454,0.24,6.10,3189,148,9.83,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,50%,24.07,1543,0.26,6.80,3286,164,9.42,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,52%,24.06,1666,0.29,7.50,3410,181,9.19,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,54%,24.06,1804,0.32,8.40,3559,201,8.97,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,56%,24.05,1975,0.35,9.30,3705,224,8.82,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,58%,24.06,2082,0.38,10.10,3818,242,8.60,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,60%,24.05,2178,0.41,11.00,3938,264,8.24,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,62%,24.05,2311,0.44,12.00,4050,289,8.00,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,64%,24.05,2486,0.47,13.00,4151,313,7.96,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,66%,24.04,2659,0.51,14.20,4308,342,7.77,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,68%,24.04,2765,0.53,15.30,4407,367,7.53,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,70%,24.03,2921,0.57,16.30,4611,393,7.44,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,75%,24.02,3376,0.65,19.40,4973,466,7.25,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,80%,24.01,3767,0.73,22.70,5230,544,6.92,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,90%,23.99,4514,0.91,29.70,5698,713,6.33,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P20*6,100%,23.96,5372,1.10,38.50,6276,921,5.83,65.3 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,40%,24.01,1424,0.27,5.50,2573,132,10.83,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,42%,24.02,1525,0.29,6.10,2668,145,10.49,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,44%,24.01,1657,0.33,6.70,2770,162,10.24,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,46%,24.01,1788,0.36,7.50,2873,180,9.95,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,48%,24.01,1959,0.39,8.30,2990,200,9.79,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,50%,24.00,2090,0.43,9.20,3197,221,9.46,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,52%,24.00,2267,0.46,10.30,3312,246,9.20,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,54%,24.00,2413,0.51,11.40,3439,272,8.86,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,56%,24.00,2586,0.55,12.60,3565,301,8.59,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,58%,23.99,2799,0.60,14.00,3689,335,8.36,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,60%,23.99,2968,0.64,15.20,3790,364,8.15,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,62%,23.99,3149,0.69,16.60,3888,398,7.90,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,64%,23.98,3298,0.73,17.90,3980,429,7.69,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,66%,23.97,3477,0.77,19.30,4071,464,7.50,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,68%,23.97,3665,0.81,20.90,4182,500,7.33,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,70%,23.96,3843,0.85,22.20,4375,533,7.21,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,75%,23.95,4349,0.96,26.70,4623,640,6.80,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,80%,23.94,4828,1.08,31.00,4936,743,6.50,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,90%,23.90,5747,1.31,41.10,5346,983,5.85,88.5 (Ambient Temperature: 9.5℃)
MN505S KV320,T-MOTOR P22*6.6,100%,23.87,6680,1.54,52.40,5625,1249,5.35,88.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,40%,24.02,903,0.40,4.60,3287,110,8.20,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,42%,24.01,987,0.42,5.10,3461,123,8.02,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,44%,24.01,1076,0.44,5.70,3631,137,7.84,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,46%,24.01,1153,0.46,6.30,3770,151,7.64,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,48%,24.01,1245,0.48,6.90,3916,165,7.55,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,50%,24.00,1386,0.44,7.70,4096,186,7.47,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,52%,24.00,1504,0.48,8.60,4255,206,7.31,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,54%,24.00,1628,0.48,9.40,4417,225,7.24,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,56%,24.00,1745,0.50,10.20,4557,245,7.11,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,58%,23.99,1877,0.52,11.20,4715,268,6.99,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,60%,23.99,1975,0.55,12.00,4844,287,6.87,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,62%,23.98,2122,0.57,13.10,4983,313,6.78,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,64%,23.98,2224,0.58,14.10,5136,337,6.60,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,66%,23.98,2344,0.61,15.20,5272,364,6.44,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,68%,23.97,2481,0.63,16.40,5404,392,6.33,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,70%,23.97,2590,0.65,17.40,5527,416,6.22,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,75%,23.96,2916,0.71,20.20,5830,484,6.02,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,80%,23.95,3176,0.76,23.40,6134,561,5.67,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,90%,23.92,3860,0.88,31.00,6726,740,5.21,66.5 (Ambient Temperature: 9.5℃)
MN505S KV380,T-MOTOR P17*5.8,100%,23.89,4550,1.01,39.80,7324,950,4.79,66.5 (Ambient Temperature: 9.5℃)
