Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (℃)
MN3110 KV470,14.8,T-MOTO 13*4.4CF,50%,1.5,22.20,290,3300,13.06,40
MN3110 KV470,14.8,T-MOTO 13*4.4CF,65%,2.6,38.48,410,4000,10.65,40
MN3110 KV470,14.8,T-MOTO 13*4.4CF,75%,3.5,51.80,550,4600,10.62,40
MN3110 KV470,14.8,T-MOTO 13*4.4CF,85%,4.9,72.52,680,5200,9.38,40
MN3110 KV470,14.8,T-MOTO 13*4.4CF,100%,5.8,85.84,780,5500,9.09,40
MN3110 KV470,14.8,T-MOTOR 14*4.8CF,50%,2.0,29.60,370,3000,12.50,50
MN3110 KV470,14.8,T-MOTOR 14*4.8CF,65%,3.5,51.80,600,3800,11.58,50
MN3110 KV470,14.8,T-MOTOR 14*4.8CF,75%,5.0,74.00,790,4300,10.68,50
MN3110 KV470,14.8,T-MOTOR 14*4.8CF,85%,7.0,103.60,990,4800,9.56,50
MN3110 KV470,14.8,T-MOTOR 14*4.8CF,100%,8.0,118.40,1090,5050,9.21,50
MN3110 KV470,14.8,T-MOTOR 15*5CF,50%,2.2,32.56,460,2800,14.13,53
MN3110 KV470,14.8,T-MOTOR 15*5CF,65%,4.3,63.64,730,3600,11.47,53
MN3110 KV470,14.8,T-MOTOR 15*5CF,75%,6.2,91.76,930,4100,10.14,53
MN3110 KV470,14.8,T-MOTOR 15*5CF,85%,8.2,121.36,1100,4500,9.06,53
MN3110 KV470,14.8,T-MOTOR 15*5CF,100%,9.5,140.60,1220,4800,8.68,53
MN3110 KV470,22.2,T-MOTO 10*3.3CF,50%,1.5,33.30,350,5500,10.51,41
MN3110 KV470,22.2,T-MOTO 10*3.3CF,65%,2.5,55.50,500,6500,9.01,41
MN3110 KV470,22.2,T-MOTO 10*3.3CF,75%,3.5,77.70,630,7300,8.11,41
MN3110 KV470,22.2,T-MOTO 10*3.3CF,85%,4.8,106.56,780,8300,7.32,41
MN3110 KV470,22.2,T-MOTO 10*3.3CF,100%,5.3,117.66,890,8600,7.56,41
MN3110 KV470,22.2,T-MOTOR 11*3.7CF,50%,1.9,42.18,430,4900,10.19,44
MN3110 KV470,22.2,T-MOTOR 11*3.7CF,65%,3.5,77.70,690,6300,8.88,44
MN3110 KV470,22.2,T-MOTOR 11*3.7CF,75%,5.0,111.00,860,7100,7.75,44
MN3110 KV470,22.2,T-MOTOR 11*3.7CF,85%,6.3,139.86,1030,7700,7.36,44
MN3110 KV470,22.2,T-MOTOR 11*3.7CF,100%,7.4,164.28,1110,8200,6.76,44
MN3110 KV700,11.1,T-MOTO 11*3.7CF,50%,1.8,19.98,280,3900,14.01,39
MN3110 KV700,11.1,T-MOTO 11*3.7CF,65%,3,33.30,380,4600,11.41,39
MN3110 KV700,11.1,T-MOTO 11*3.7CF,75%,4.3,47.73,500,5500,10.48,39
MN3110 KV700,11.1,T-MOTO 11*3.7CF,85%,5.6,62.16,600,6000,9.65,39
MN3110 KV700,11.1,T-MOTO 11*3.7CF,100%,6.9,76.59,700,6400,9.14,39
MN3110 KV700,11.1,T-MOTOR 12*4CF,50%,2.1,23.31,320,3600,13.73,39
MN3110 KV700,11.1,T-MOTOR 12*4CF,65%,3.7,41.07,500,4500,12.17,39
MN3110 KV700,11.1,T-MOTOR 12*4CF,75%,5.3,58.83,630,5000,10.71,39
MN3110 KV700,11.1,T-MOTOR 12*4CF,85%,7.2,79.92,780,5700,9.76,39
MN3110 KV700,11.1,T-MOTOR 12*4CF,100%,8.9,98.79,890,6100,9.01,39
MN3110 KV700,11.1,T-MOTOR 13*4.4CF,50%,2.4,26.64,320,3500,12.01,45
MN3110 KV700,11.1,T-MOTOR 13*4.4CF,65%,4.3,47.73,480,4500,10.06,45
MN3110 KV700,11.1,T-MOTOR 13*4.4CF,75%,6.3,69.93,680,5000,9.72,45
MN3110 KV700,11.1,T-MOTOR 13*4.4CF,85%,8.5,94.35,880,5600,9.33,45
MN3110 KV700,11.1,T-MOTOR 13*4.4CF,100%,10.2,113.22,980,6000,8.66,45
MN3110 KV700,14.8,T-MOTO 10*3.3CF,50%,2.3,34.04,320,5500,9.40,42
MN3110 KV700,14.8,T-MOTO 10*3.3CF,65%,3.5,51.80,430,6500,8.30,42
MN3110 KV700,14.8,T-MOTO 10*3.3CF,75%,5,74.00,560,7100,7.57,42
MN3110 KV700,14.8,T-MOTO 10*3.3CF,85%,6.8,100.64,700,8000,6.96,42
MN3110 KV700,14.8,T-MOTO 10*3.3CF,100%,8.1,119.88,800,8600,6.67,42
MN3110 KV700,14.8,T-MOTOR 11*3.7CF,50%,2.6,38.48,350,4900,9.10,42
MN3110 KV700,14.8,T-MOTOR 11*3.7CF,65%,4.7,69.56,560,6000,8.05,42
MN3110 KV700,14.8,T-MOTOR 11*3.7CF,75%,6.5,96.20,720,6900,7.48,42
MN3110 KV700,14.8,T-MOTOR 11*3.7CF,85%,9,133.20,880,7600,6.61,42
MN3110 KV700,14.8,T-MOTOR 11*3.7CF,100%,10,148.00,1030,8100,6.96,42
MN3110 KV700,14.8,T-MOTOR 12*4CF,50%,3.2,47.36,420,4800,8.87,47
MN3110 KV700,14.8,T-MOTOR 12*4CF,65%,6.2,91.76,790,5700,8.61,47
MN3110 KV700,14.8,T-MOTOR 12*4CF,75%,8.5,125.80,930,6500,7.39,47
MN3110 KV700,14.8,T-MOTOR 12*4CF,85%,11.6,171.68,1190,7200,6.93,47
MN3110 KV700,14.8,T-MOTOR 12*4CF,100%,14,207.20,1290,7600,6.23,47
MN3110 KV780,11.1,T-MOTO 11*3.7CF,50%,2.3,25.53,260,4300,10.18,40
MN3110 KV780,11.1,T-MOTO 11*3.7CF,65%,4.1,45.51,400,5300,8.79,40
MN3110 KV780,11.1,T-MOTO 11*3.7CF,75%,5.7,63.27,530,6000,8.38,40
MN3110 KV780,11.1,T-MOTO 11*3.7CF,85%,7.7,85.47,660,6800,7.72,40
MN3110 KV780,11.1,T-MOTO 11*3.7CF,100%,9.4,104.34,750,7100,7.19,40
MN3110 KV780,11.1,T-MOTOR 12*4CF,50%,2.7,29.97,320,4000,10.68,44
MN3110 KV780,11.1,T-MOTOR 12*4CF,65%,5.1,56.61,530,5000,9.36,44
MN3110 KV780,11.1,T-MOTOR 12*4CF,75%,7.5,83.25,700,5700,8.41,44
MN3110 KV780,11.1,T-MOTOR 12*4CF,85%,9.8,108.78,840,6300,7.72,44
MN3110 KV780,11.1,T-MOTOR 12*4CF,100%,12,133.20,990,6700,7.43,44
MN3110 KV780,14.8,T-MOTO 9*3CF,50%,2.7,39.96,300,6800,7.51,41
MN3110 KV780,14.8,T-MOTO 9*3CF,65%,3.6,53.28,380,7500,7.13,41
MN3110 KV780,14.8,T-MOTO 9*3CF,75%,4.8,71.04,460,8500,6.48,41
MN3110 KV780,14.8,T-MOTO 9*3CF,85%,6.6,97.68,590,9200,6.04,41
MN3110 KV780,14.8,T-MOTO 9*3CF,100%,8,118.40,680,10000,5.74,41
MN3110 KV780,14.8,T-MOTOR 10*3.3CF,50%,3.1,45.88,360,6000,7.85,42
MN3110 KV780,14.8,T-MOTOR 10*3.3CF,65%,4.8,71.04,530,7000,7.46,42
MN3110 KV780,14.8,T-MOTOR 10*3.3CF,75%,6.8,100.64,660,8000,6.56,42
MN3110 KV780,14.8,T-MOTOR 10*3.3CF,85%,9.2,136.16,850,8800,6.24,42
MN3110 KV780,14.8,T-MOTOR 10*3.3CF,100%,11,162.80,980,9500,6.02,42
MN3110 KV780,14.8,T-MOTOR 11*3.7CF,50%,3.4,50.32,430,5500,8.55,45
MN3110 KV780,14.8,T-MOTOR 11*3.7CF,65%,6.5,96.20,700,6700,7.28,45
MN3110 KV780,14.8,T-MOTOR 11*3.7CF,75%,9.2,136.16,880,7600,6.46,45
MN3110 KV780,14.8,T-MOTOR 11*3.7CF,85%,12.4,183.52,1100,8500,5.99,45
MN3110 KV780,14.8,T-MOTOR 11*3.7CF,100%,14.9,220.52,1260,9000,5.71,45
