Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN1015- KV70,G34*11.5,40%,88.66,6936,3.05,9.11,2261,808,8.59,120℃
MN1015- KV70,G34*11.5,45%,88.61,8005,3.46,11.23,2432,995,8.05,120℃
MN1015- KV70,G34*11.5,50%,88.56,9192,3.95,13.65,2604,1208,7.61,120℃
MN1015- KV70,G34*11.5,55%,88.47,10597,4.49,16.89,2794,1494,7.09,120℃
MN1015- KV70,G34*11.5,60%,88.42,11982,5.03,19.99,2955,1768,6.78,120℃
MN1015- KV70,G34*11.5,65%,88.33,13389,5.62,23.76,3112,2099,6.38,120℃
MN1015- KV70,G34*11.5,70%,88.27,14802,6.18,27.40,3258,2419,6.12,120℃
MN1015- KV70,G34*11.5,75%,88.11,17067,7.13,33.97,3495,2993,5.70,120℃
MN1015- KV70,G34*11.5,80%,88.08,18785,7.73,37.70,3657,3321,5.66,120℃
MN1015- KV70,G34*11.5,90%,87.79,21789,8.91,48.60,3944,4266,5.11,120℃
MN1015- KV70,G34*11.5,100%,87.61,24332,9.87,56.87,4137,4982,4.88,120℃
MN1015- KV70,G36*11.5,40%,88.67,7528,3.42,9.72,2170,862,8.73,195℃
MN1015- KV70,G36*11.5,45%,88.62,9008,4.02,12.41,2362,1099,8.20,195℃
MN1015- KV70,G36*11.5,50%,88.54,10476,4.64,15.59,2537,1381,7.59,195℃
MN1015- KV70,G36*11.5,55%,88.46,12353,5.41,19.64,2734,1738,7.11,195℃
MN1015- KV70,G36*11.5,60%,88.38,13758,5.99,23.36,2880,2065,6.66,195℃
MN1015- KV70,G36*11.5,65%,88.26,15370,6.67,28.08,3015,2478,6.20,195℃
MN1015- KV70,G36*11.5,70%,88.20,16664,7.21,31.44,3129,2773,6.01,195℃
MN1015- KV70,G36*11.5,75%,88.05,19270,8.30,38.81,3356,3417,5.64,195℃
MN1015- KV70,G36*11.5,80%,87.96,21380,9.20,44.93,3522,3952,5.41,195℃
MN1015- KV70,G36*11.5,90%,87.69,24643,10.43,55.84,3754,4897,5.03,195℃
MN1015- KV70,G36*11.5,100%,87.43,27406,11.54,66.32,3932,5798,4.73,195℃
