Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Efficiency (g/W),Operating Temperature (℃)
MN4116- KV340,T16*8",40%,23.78,855,0.19,3.70,3386,88,9.72,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",42%,23.77,932,0.20,4.15,3515,99,9.45,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",44%,23.77,1004,0.20,4.53,3635,108,9.32,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",46%,23.76,1064,0.22,4.86,3736,116,9.21,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",48%,23.75,1141,0.23,5.37,3861,128,8.95,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",50%,23.74,1221,0.25,5.87,3977,139,8.76,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",52%,23.73,1292,0.28,6.39,4102,152,8.52,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",54%,23.72,1369,0.28,6.97,4223,165,8.27,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",56%,23.71,1454,0.31,7.50,4336,178,8.17,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",58%,23.71,1527,0.32,8.12,4466,192,7.94,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",60%,23.69,1629,0.34,8.81,4579,209,7.80,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",62%,23.68,1725,0.37,9.56,4693,226,7.62,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",64%,23.67,1811,0.38,10.26,4816,243,7.45,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",66%,23.66,1913,0.40,11.02,4932,261,7.33,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",68%,23.65,2001,0.42,11.83,5045,280,7.15,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",70%,23.63,2105,0.45,12.73,5154,301,7.00,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",72%,23.63,2193,0.46,13.54,5268,320,6.85,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",74%,23.62,2305,0.48,14.48,5379,342,6.74,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",76%,23.60,2394,0.50,15.44,5491,364,6.57,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",78%,23.59,2505,0.53,16.53,5598,390,6.42,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",80%,23.57,2612,0.55,17.75,5705,418,6.24,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",90%,23.50,3158,0.66,23.71,6277,557,5.67,72 (Ambient Temperature: 23℃)
MN4116- KV340,T16*8",100%,23.41,3789,0.80,31.49,6855,737,5.14,72 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",40%,23.80,736,0.15,2.99,3447,71,10.35,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",42%,23.79,802,0.16,3.34,3575,79,10.10,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",44%,23.79,852,0.17,3.56,3689,85,10.06,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",46%,23.78,906,0.18,3.93,3818,94,9.69,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",48%,23.77,973,0.19,4.27,3946,102,9.58,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",50%,23.77,1041,0.20,4.67,4066,111,9.39,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",52%,23.75,1112,0.22,5.08,4193,121,9.22,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",54%,23.75,1161,0.23,5.41,4314,128,9.04,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",56%,23.74,1246,0.24,5.94,4445,141,8.84,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",58%,23.73,1324,0.26,6.43,4574,153,8.68,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",60%,23.73,1394,0.28,6.89,4699,164,8.53,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",62%,23.72,1477,0.29,7.45,4820,177,8.35,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",64%,23.71,1555,0.30,8.04,4942,191,8.16,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",66%,23.70,1641,0.32,8.63,5072,204,8.02,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",68%,23.69,1721,0.32,9.27,5184,219,7.84,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",70%,23.68,1815,0.35,9.93,5304,235,7.72,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",72%,23.67,1880,0.37,10.51,5432,249,7.56,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",74%,23.66,1975,0.38,11.23,5549,266,7.43,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",76%,23.65,2050,0.40,11.91,5669,282,7.28,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",78%,23.64,2152,0.41,12.70,5785,300,7.17,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",80%,23.63,2235,0.43,13.45,5903,318,7.03,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",90%,23.57,2741,0.53,18.15,6511,428,6.41,65 (Ambient Temperature: 23℃)
MN4116- KV340,P16*5.4",100%,23.49,3360,0.64,24.66,7174,579,5.80,65 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",40%,23.77,929,0.21,3.85,3379,91,10.16,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",42%,23.77,997,0.21,4.22,3499,100,9.94,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",44%,23.76,1066,0.23,4.63,3627,110,9.70,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",46%,23.76,1117,0.24,4.95,3727,118,9.50,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",48%,23.75,1200,0.25,5.42,3854,129,9.33,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",50%,23.74,1283,0.27,5.92,3972,141,9.12,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",52%,23.74,1362,0.29,6.44,4094,153,8.91,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",54%,23.72,1445,0.30,7.06,4214,167,8.63,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",56%,23.72,1533,0.32,7.60,4332,180,8.51,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",58%,23.70,1617,0.34,8.26,4457,196,8.26,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",60%,23.69,1696,0.36,8.88,4582,210,8.06,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",62%,23.68,1804,0.38,9.60,4693,227,7.93,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",64%,23.67,1879,0.39,10.32,4816,244,7.69,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",66%,23.66,1992,0.42,11.14,4925,264,7.56,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",68%,23.65,2088,0.43,11.90,5048,282,7.42,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",70%,23.64,2182,0.46,12.69,5147,300,7.27,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",72%,23.63,2286,0.48,13.61,5263,322,7.11,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",74%,23.61,2390,0.50,14.53,5375,343,6.96,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",76%,23.60,2481,0.52,15.39,5489,363,6.83,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",78%,23.59,2589,0.54,16.38,5598,387,6.70,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",80%,23.58,2717,0.56,17.44,5702,411,6.61,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",90%,23.50,3308,0.68,23.77,6256,559,5.92,82 (Ambient Temperature: 23℃)
MN4116- KV340,P17*5.8",100%,23.41,3995,0.83,31.73,6845,743,5.38,82 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",40%,23.76,1108,0.24,4.61,3321,109,10.12,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",42%,23.76,1204,0.26,5.07,3438,121,9.98,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",44%,23.75,1292,0.28,5.60,3558,133,9.71,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",46%,23.74,1355,0.29,6.10,3677,145,9.35,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",48%,23.73,1426,0.31,6.55,3774,155,9.17,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",50%,23.72,1545,0.34,7.29,3903,173,8.94,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",52%,23.71,1634,0.36,7.88,4013,187,8.75,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",54%,23.70,1732,0.38,8.60,4126,204,8.50,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",56%,23.69,1833,0.40,9.30,4245,220,8.32,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",58%,23.68,1940,0.42,10.08,4353,239,8.13,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",60%,23.66,2038,0.44,10.85,4471,257,7.94,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",62%,23.65,2141,0.45,11.70,4585,277,7.74,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",64%,23.64,2259,0.48,12.61,4693,298,7.58,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",66%,23.63,2366,0.51,13.56,4805,320,7.38,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",68%,23.62,2479,0.54,14.50,4909,342,7.24,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",70%,23.60,2586,0.56,15.50,5021,366,7.07,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",72%,23.59,2709,0.58,16.54,5124,390,6.94,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",74%,23.58,2807,0.60,17.53,5226,413,6.79,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",76%,23.56,2923,0.63,18.70,5329,441,6.63,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",78%,23.54,3063,0.66,19.96,5430,470,6.52,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",80%,23.53,3203,0.69,21.23,5525,500,6.41,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",90%,23.45,3834,0.82,28.04,5997,658,5.83,145 (Ambient Temperature: 23℃)
MN4116- KV340,P18*6.1",100%,23.33,4628,0.99,38.28,6571,893,5.18,145 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",40%,23.73,1305,0.27,6.63,4096,157,8.29,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",42%,23.71,1398,0.30,7.41,4250,176,7.96,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",44%,23.71,1489,0.32,8.03,4385,190,7.83,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",46%,23.69,1608,0.34,8.91,4540,211,7.62,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",48%,23.68,1715,0.36,9.75,4685,231,7.43,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",50%,23.67,1816,0.38,10.74,4830,254,7.14,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",52%,23.65,1945,0.41,11.71,4975,277,7.02,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",54%,23.64,2063,0.43,12.77,5115,302,6.84,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",56%,23.62,2178,0.45,13.86,5246,327,6.65,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",58%,23.61,2301,0.48,15.08,5389,356,6.46,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",60%,23.59,2429,0.51,16.37,5525,386,6.29,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",62%,23.57,2575,0.54,17.77,5659,419,6.15,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",64%,23.56,2674,0.56,18.89,5790,445,6.01,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",66%,23.54,2811,0.59,20.41,5914,481,5.85,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",68%,23.52,2934,0.62,21.88,6045,514,5.70,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",70%,23.50,3108,0.66,24.08,6218,566,5.49,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",72%,23.48,3254,0.69,25.85,6351,607,5.36,102 (Ambient Temperature: 23℃)
MN4116- KV450,T16*8",74%,23.46,3374,0.72,27.31,6460,641,5.27,102 (Ambient Temperature: 23℃)
