Type,Propeller,Throttle,Voltage (V),Thrust (g),Torque (N*m),Current (A),RPM,Power (W),Effciency (g/W),Operating Temperature (℃)
MN501S KV240,T-MOTOR P14*4.8,40%,48.50,975,0.17,2.90,5011,141,6.93,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,42%,48.49,1026,0.18,3.12,5182,151,6.79,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,44%,48.50,1084,0.19,3.36,5337,163,6.65,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,46%,48.49,1142,0.20,3.62,5508,176,6.50,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,48%,48.49,1215,0.21,3.90,5667,189,6.42,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,50%,48.53,1282,0.23,4.20,5834,204,6.30,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,52%,48.53,1386,0.25,4.59,6035,223,6.22,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,54%,48.53,1487,0.26,4.97,6213,241,6.16,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,56%,48.52,1567,0.27,5.33,6383,259,6.06,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,58%,48.53,1646,0.27,5.65,6413,274,6.00,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,60%,48.52,1730,0.30,5.99,6655,290,5.96,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,62%,48.52,1809,0.31,6.35,6829,308,5.87,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,64%,48.52,1905,0.32,6.79,6993,329,5.78,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,66%,48.52,1980,0.34,7.25,7161,352,5.63,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,68%,48.56,2103,0.35,7.78,7340,378,5.57,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,70%,48.55,2204,0.37,8.35,7534,405,5.44,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,75%,48.55,2481,0.42,9.72,7947,472,5.26,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,80%,48.54,2787,0.47,11.35,8376,551,5.06,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,90%,48.53,3314,0.57,14.74,9161,715,4.63,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P14*4.8,100%,48.52,3891,0.68,18.52,9870,899,4.33,57.5 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,40%,48.59,1166,0.23,3.57,4887,174,6.72,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,42%,48.58,1252,0.24,3.89,5067,189,6.64,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,44%,48.58,1319,0.26,4.17,5198,203,6.51,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,46%,48.58,1412,0.27,4.53,5365,220,6.42,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,48%,48.58,1506,0.29,4.90,5536,238,6.32,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,50%,48.58,1605,0.31,5.30,5684,258,6.23,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,52%,48.58,1710,0.34,5.69,5855,277,6.18,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,54%,48.57,1842,0.32,6.26,6057,304,6.05,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,56%,48.57,1949,0.34,6.78,6242,329,5.92,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,58%,48.57,2094,0.36,7.41,6411,360,5.81,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,60%,48.57,2176,0.36,7.87,6513,382,5.70,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,62%,48.57,2199,0.38,8.02,6632,389,5.65,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,64%,48.57,2295,0.40,8.52,6804,414,5.55,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,66%,48.56,2421,0.42,9.11,6960,442,5.47,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,68%,48.56,2557,0.44,9.79,7145,475,5.38,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,70%,48.56,2693,0.47,10.54,7317,512,5.26,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,75%,48.56,3000,0.53,12.32,7729,598,5.02,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,80%,48.55,3294,0.57,14.05,8076,682,4.83,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,90%,48.54,3957,0.70,18.31,8840,889,4.45,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P15*5,100%,48.52,466,0.81,23.11,9532,1121,4.16,78 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,40%,24.35,916,0.23,2.87,1914,70,13.09,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,42%,24.35,999,0.24,3.21,2002,78,12.78,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,44%,24.35,1088,0.26,3.59,2093,87,12.43,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,46%,24.35,1166,0.28,3.92,2176,96,12.20,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,48%,24.35,1246,0.30,4.31,2268,105,11.87,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,50%,24.35,1339,0.33,4.75,2361,116,11.59,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,52%,24.35,1453,0.35,5.28,2485,128,11.30,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,54%,24.35,1566,0.38,5.86,2595,143,10.97,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,56%,24.34,1684,0.41,6.46,2695,157,10.71,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,58%,24.34,1796,0.43,7.07,2797,172,10.44,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,60%,24.34,1900,0.46,7.69,2892,187,10.15,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,62%,24.33,2020,0.49,8.35,2979,203,9.94,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,64%,24.33,2147,0.52,9.16,3078,223,9.63,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,66%,24.33,2273,0.55,9.82,3185,239,9.51,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,68%,24.33,2394,0.57,10.60,3271,258,9.28,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,70%,24.32,2509,0.60,11.32,3358,275,9.11,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,75%,24.32,2823,0.68,13.44,3566,327,8.63,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,80%,24.31,3038,0.75,15.63,3785,380,7.99,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,90%,24.29,3454,0.90,20.62,4173,501,6.89,68 (Ambient Temperature: 9.2℃)
MN501S KV240,T-MOTOR P22*6.6,100%,24.27,4187,1.02,25.21,4478,612,6.84,68 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,40%,24.28,889,0.12,3.08,2594,75,11.89,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,42%,24.32,968,0.14,3.45,2701,84,11.53,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,44%,24.32,1058,0.16,3.87,2815,94,11.23,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,46%,24.32,1172,0.18,4.39,2949,107,10.98,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,48%,24.31,1271,0.20,4.89,3070,119,10.69,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,50%,24.31,1382,0.22,5.43,3186,132,10.48,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,52%,24.32,1489,0.25,6.06,3310,147,10.11,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,54%,24.31,1592,0.27,6.71,3438,163,9.76,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,56%,24.31,1712,0.30,7.35,3543,179,9.59,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,58%,24.31,1829,0.32,8.01,3646,195,9.39,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,60%,24.30,1944,0.34,8.68,3742,211,9.21,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,62%,24.30,2078,0.37,9.37,3736,228,9.13,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,64%,24.30,2163,0.40,10.22,3960,248,8.72,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,66%,24.30,2310,0.42,10.99,4058,267,8.65,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,68%,24.29,2424,0.45,11.73,4151,285,8.51,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,70%,24.29,2535,0.47,12.62,4233,306,8.27,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,75%,24.29,2852,0.53,14.75,4517,358,7.96,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,80%,24.28,3068,0.60,17.13,4725,416,7.38,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,90%,24.26,3710,0.73,22.59,5275,548,6.77,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P20*6,100%,24.24,4284,0.85,27.75,5603,673,6.37,86.5 (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,40%,24.34,1204,0.22,4.25,2333,103,11.64,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,42%,24.34,1305,0.24,4.72,2422,115,11.36,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,44%,24.33,1421,0.27,5.28,2523,129,11.05,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,46%,24.33,1540,0.30,5.90,2627,144,10.73,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,48%,24.33,1666,0.33,6.62,2754,161,10.34,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,50%,24.33,1824,0.36,7.40,2859,180,10.14,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,52%,24.33,1980,0.40,8.23,2966,200,9.88,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,54%,24.32,2139,0.43,9.11,3276,222,9.65,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,56%,24.32,2266,0.46,9.94,3371,242,9.37,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,58%,24.32,2381,0.50,10.87,3463,264,9.00,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,60%,24.31,2530,0.54,11.83,3544,288,8.80,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,62%,24.31,2645,0.56,12.79,3639,311,8.51,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,64%,24.31,2803,0.60,13.98,3751,340,8.25,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,66%,24.31,2941,0.64,15.08,3835,367,8.02,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,68%,24.30,3008,0.67,16.11,3920,392,7.68,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,70%,24.30,3096,0.71,17.28,4090,420,7.38,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,75%,24.33,3507,0.80,20.38,4200,496,7.07,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,80%,24.32,4027,0.89,23.68,4478,576,6.99,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,90%,24.29,4655,1.06,31.11,4733,756,6.16,HOT (Ambient Temperature: 9.2℃)
MN501S KV300,T-MOTOR P22*6.6,100%,24.27,5277,1.20,37.74,5017,916,5.76,HOT (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,40%,24.27,855,0.17,4.08,3190,99,8.63,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,42%,24.27,938,0.19,4.54,3333,110,8.51,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,44%,24.27,1029,0.21,5.02,3471,122,8.44,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,46%,24.26,1103,0.23,5.54,3620,134,8.21,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,48%,24.27,1185,0.25,6.10,3748,148,8.01,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,50%,24.27,1256,0.27,6.66,3882,162,7.77,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,52%,24.30,1346,0.30,7.32,4017,178,7.56,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,54%,24.29,1464,0.32,8.11,4184,197,7.43,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,56%,24.29,1555,0.34,8.74,4314,212,7.32,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,58%,24.29,1664,0.32,9.48,4441,230,7.23,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,60%,24.29,1758,0.34,10.15,4558,247,7.13,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,62%,24.29,1853,0.35,10.91,4670,265,6.99,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,64%,24.28,1959,0.37,11.71,4777,284,6.89,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,66%,24.29,2040,0.39,12.48,4895,303,6.73,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,68%,24.28,2161,0.41,13.49,5041,327,6.60,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,70%,24.28,2245,0.43,14.34,5144,348,6.45,57.5 (Ambient Temperature: 9.2℃)
MN501S KV360,T-MOTOR P17*5.8,75%,24.27,2486,0.47,16.53,5396,401,6.19,57.5 (Ambient Temperature: 9.2℃)
